text,emotion
me da terror pensar que no hay salida y no puedo calmarlo,miedo
es que me dejaron plantado y ni se disculparon hermano,enojo
que problema tan absurdo todo el tiempo,enojo
te digo que siento tristeza cuando pienso en eso y no lo puedo superar,triste
encontre algo que habia perdido hace tiempo y no se que hacer,feliz
sinceramente me irritas con ese comportamiento en serio,enojo
hoy salimos a rumbear y la pase muy bien,feliz
mira todo esta mal organizado de verdad,enojo
no te miento me corrigieron el tono sin escuchar lo que dije y no lo digo seguido,enojo
oye por fin publique lo que venia trabajando,feliz
no tenemos para el arriendo este mes de verdad,triste
sinceramente mi familia se fue a vivir lejos y me siento solo y ya,triste
es que me toco vender el carro que tanto queria de verdad,triste
la verdad me citaron a declarar y estoy muy nervioso y me cuesta mucho,miedo
que buen resultado tuvimos hoy y no lo puedo creer,feliz
fijate que me perdi un momento importante sinceramente,triste
es que me llamaron de un numero desconocido y no puedo evitarlo,miedo
es que no me puedo quitar esa preocupacion de encima y nadie lo sabe,miedo
es que me tiene angustiado no saber que va a pasar y eso me pesa,miedo
no se si contarte pero no supe si era una broma o algo serio sinceramente,triste
me siento derrotado todo el tiempo,triste
lo que pasa es que que desconsiderado eres siempre y ya me canse,enojo
en serio estoy harto de esto otra vez,enojo
te cuento que me dejo mi novio y estoy muy mal,triste
ultimamente me siento increible y eso me alegra,feliz
oye estrene mi apartamento y ya,feliz
es que me cuesta aceptar que eso ya termino,triste
lo que pasa es que nadie reconocio lo que aporte y no puedo evitarlo,enojo
mi familia se fue a vivir lejos y me siento solo de verdad,triste
te cuento que todo me genera ansiedad ultimamente y es agotador,miedo
lo que pasa es que mi pareja me sorprendio y me tiene mal,feliz
la verdad nadie me escucha otra vez,triste
fijate que me cancelaron a ultimo momento otra vez,enojo
sinceramente odio esta situacion y no se que hacer,enojo
definitivamente nada tiene sentido y no se que hacer,triste
no voy a permitir que me hagas eso y me parece muy mal,enojo
sinceramente estoy temblando de nervios desde hace dias,miedo
honestamente me indigna tu forma de actuar,enojo
no te miento no logre lo que esperaba y no se que hacer,triste
en serio me canse de pedir lo mismo sin resultado y eso me tiene mal,enojo
me despidieron del trabajo,triste
me toco vender el carro que tanto queria,triste
es que me tiene muy irritado todo lo que esta pasando de verdad,enojo
hoy nada tiene sentido otra vez,triste
para serte honesto perdi la materia que mas me esforcé y no lo digo seguido,triste
la verdad no hice la tarea,miedo
realmente estoy muy enojado en este momento,enojo
no tengo ganas de nada,triste
hoy todo esta mejorando y eso me alegra,feliz
ultimamente me tiene harto que siempre pase lo mismo y nadie lo entiende,enojo
en este momento tengo mucho miedo y no se que hacer,miedo
hoy tengo miedo de decir algo y que lo tomen mal y me tiene mal,miedo
hoy hoy me fue de pelos pero bueno,feliz
es que me dijeron que era mi culpa cuando no lo era y ya,enojo
hermano tengo miedo de embarrarla con esa decision de verdad,miedo
la verdad me cuesta aceptar que eso ya termino la verdad,triste
mira siento que algo no esta bien aunque todo parece normal y ya,miedo
es que me toco dejar los estudios por plata y nadie lo sabe,triste
hoy todo esta saliendo bien en este momento,feliz
es que me hicieron esperar demasiado y eso me pesa,enojo
la verdad me quede sin trabajo y no se que hacer la verdad,triste
la verdad ya no quiero hablar de eso porque nadie entiende y me tiene pensando mucho,triste
la verdad es que me da terror mostrarme como soy de verdad sinceramente,miedo
ultimamente nadie me eligio para su equipo y me tiene agotado,triste
te cuento que me independice por fin y ya,feliz
es que estoy muy asustado con lo que puede pasar y no es facil,miedo
desde hace dias mi grupo hizo el trabajo sin contar conmigo y me cuesta mucho,triste
en este momento todo salio mal,triste
parce me salio el traslado que pedi,feliz
es que me toco vender el carro que tanto queria y nadie lo sabe,triste
no puedo creer que eres un maleducado sin remedio en serio,enojo
oye aprobe el examen sinceramente,feliz
no tengo plan b si esto falla,miedo
hoy tengo un mal presentimiento desde ayer sinceramente,miedo
en serio me pidieron que fuera a recursos humanos y eso me duele,miedo
hermano me encontre con un amigo que no veia hace tiempo y me tiene mal,feliz
la verdad me independice por fin sinceramente,feliz
es que perdi la materia que mas me esforcé y eso me tiene mal,triste
es que me dieron la beca de la universidad publica y me tiene mal,feliz
en este momento ya no tengo ganas en este momento,triste
te juro que hice algo que me daba miedo y salio bien sinceramente,feliz
en serio me costo mucho levantarme hoy y no lo puedo ocultar,triste
es que siento que algo no esta bien aunque todo parece normal y nadie lo sabe,miedo
desde hace dias siento que no soy tan inteligente como los demas y no es facil admitirlo,triste
es que tengo miedo de que me rechacen si digo lo que pienso,miedo
fijate que me hicieron sentir especial otra vez,feliz
la verdad el resultado me tiene muy angustiado y ya,miedo
te cuento que se murio mi perro esta mañana y me afectó mucho,triste
es que tuve que dejar mis estudios pero necesitaba decirlo,triste
desde hace dias siento que no soy tan inteligente como los demas y eso me tiene mal,triste
la verdad me encanta este momento otra vez,feliz
ya no quiero esforzarme y no se que hacer,triste
ahora mismo todo me da miedo todo el tiempo,miedo
desde hace dias me tiene angustiado no saber que va a pasar y ya,miedo
sinceramente no puedo mas con esta situacion y me parece muy mal,enojo
ahora mismo esto arruino mi dia en este momento,enojo
ahora mismo estoy muy enojado ultimamente,enojo
resulta que si me cai en el trabajo y no sé qué hacer,triste
mira siento que la estoy embarrando en todo la verdad,triste
en este momento tengo ansiedad por lo que viene esta semana,miedo
definitivamente estoy demasiado molesto otra vez,enojo
bro me exigen resultados sin darme las herramientas y no puedo evitarlo,enojo
me case hoy,feliz
en serio me enoja mucho lo que dijiste y eso no esta bien,enojo
fijate que esto me parece una falta de respeto total y no lo puedo ocultar,enojo
estoy muy asustado con la situacion y me tiene muy nervioso,miedo
hoy borre todas mis fotos porque no me gustaba nada la verdad,triste
hoy me siento nervioso y eso me preocupa,miedo
fijate que tengo panico de que me pregunten algo en clase pero bueno,miedo
sinceramente estoy muy preocupado esta semana,miedo
en este momento me siento derrotado todo el tiempo,triste
desde ayer me siento destruido todo el tiempo,triste
la verdad me pidieron que fuera a recursos humanos y no es facil,miedo
bro me angustia pensar que quiza elegi mal mi carrera y no es facil,miedo
realmente tengo miedo de fallar todo el tiempo,miedo
realmente me siento incomodo con esto,miedo
te juro que estoy cansado de aparentar que todo esta bien y no es facil,triste
lo que pasa es que me entristece mucho pensar en eso,triste
es que fuimos a la finca y fue muy bacano pero bueno,feliz
sinceramente no se que va a pasar todo el tiempo,miedo
ultimamente ya no tengo energia para nada de lo que antes me gustaba la verdad,triste
es que por fin lo logre de verdad,feliz
te digo que estoy muy contento con mi progreso y es lo mejor que me paso,feliz
ultimamente hoy no tuve que fingir que estaba bien y no se que hacer,feliz
la verdad es que tengo miedo de que lo peor esta por venir,miedo
hoy no soporto esta situacion otra vez,enojo
es que las cosas ya no son como antes de verdad,triste
siento una pena muy grande ahora,triste
siento que el tiempo paso y yo no hice nada pero bueno,triste
men me dieron acceso a la oportunidad que queria y no se que hacer,feliz
sinceramente me quede sin trabajo y no se que hacer la verdad,triste
estoy re contento con todo y ya,feliz
sinceramente siento que estoy muy solo en todo esto y no lo puedo superar,triste
hoy estoy harto de todo esta semana,enojo
en serio por fin termine el proyecto,feliz
fijate que me da pavor equivocarme y eso me pesa,miedo
sinceramente estoy agradecido por todo desde hace dias,feliz
me da pena decirlo pero me paraliza la idea de tener que hablar en grupo y quisiera que alguien me ayudara,miedo
tengo miedo de equivocarme y arrepentirme despues y no se que hacer,miedo
no puedo evitar que estoy muy asustado con la situacion,miedo
que buena experiencia vivimos juntos,feliz
es que me independice por fin de verdad,feliz
la verdad es que me asusta pensar en las consecuencias de verdad,miedo
tengo panico de que algo me pase de verdad,miedo
estoy al limite de mi paciencia y no puedo evitarlo,enojo
hoy me encontre plata en un bolsillo que no sabia y me afecta,feliz
hoy no supe si era una broma o algo serio y nadie lo entiende,triste
te cuento que manana tengo una prueba importante y estoy nervioso la verdad,miedo
la verdad no se si voy a poder con esto y necesito que alguien me entienda,miedo
me dicen que me esfuerce mas cuando ya doy todo la verdad,enojo
me entristece mucho esta situacion y no se como seguir,triste
fijate que mi familia esta bien y no se que hacer,feliz
es que estoy muy ido hoy no se que me pasa la verdad,triste
la verdad es que el profesor me felicito por el trabajo y me cuesta mucho,feliz
me tratan diferente por ser joven de verdad,enojo
hoy no tengo ganas de nada ultimamente y estoy mal,triste
ultimamente todo me fastidia,enojo
vieja me cayo del cielo esa noticia de verdad,feliz
es que estoy muy frustrado con todo esto bro,enojo
hoy me cambiaron las condiciones a ultimo momento y no puedo evitarlo,enojo
la verdad las cosas estan saliendo como quiero y ya,feliz
me comparo mucho con los demas y me hace mal,triste
hoy me siento muy triste todo el tiempo,triste
hoy tengo miedo de caerle mal sin querer y me afecta mucho,miedo
ultimamente me hicieron una videollamada sorpresa de verdad,feliz
ultimamente vi que me sacaron de un grupo y no dije nada la verdad,triste
sinceramente me descuentan del sueldo cosas que no firmé y me cuesta mucho,enojo
fijate que termine el curso que venia haciendo bro,feliz
te digo que estoy muy contento con lo logrado en serio,feliz
en este momento tengo panico todo el tiempo,miedo
definitivamente hoy fue maravilloso en este momento,feliz
es que tengo un mal presentimiento con eso parce,miedo
la verdad pase el dia en cama,triste
tengo los mejores amigos y me afecta mucho,feliz
me hablaron muy feo sin ninguna razon y no se que hacer,enojo
de verdad estoy muy apenado por lo sucedido y quisiera que no fuera así,triste
me siento muy contento con el equipo y estoy muy agradecido,feliz
sinceramente tengo miedo de hablar y no se que hacer,miedo
hoy tengo panico ultimamente,miedo
la verdad estoy muy cansado de lucharla solo y ya,triste
te cuento que pague y no me dieron lo que ofrecieron la verdad,enojo
fijate que nada me da ganas ultimamente,triste
la verdad todo me fastidia desde hace dias,enojo
te cuento que me usaron y despues me ignoraron y eso me pesa,enojo
en serio me rindo de intentarlo todo el tiempo,triste
desde ayer me siento inseguro y no se que hacer,miedo
oye consegui el trabajo y no se que hacer,feliz
la verdad me siento nervioso en este momento,miedo
es que logre ahorrar lo que necesitaba y ya,feliz
la verdad es que siento una melancolia muy grande ahora,triste
hoy me toco dejar los estudios por plata y ya,triste
parce me tienen muy mamado con esa vuelta de verdad,enojo
lo que pasa es que llevo dias aguantando esto y ya no puedo sinceramente,enojo
en serio la vida esta siendo buena conmigo y me afecta mucho,feliz
definitivamente todo salio excelente en este momento,feliz
hoy se fue mi perro hoy pero necesitaba decirlo,triste
mira me tocó pagar una multa que no era justa la verdad,enojo
en este momento me tienen harto con esto todo el tiempo,enojo
es que me preocupa mucho el futuro economico y me cuesta aceptarlo,miedo
mira me tiene muy angustiado esa situacion pero bueno,miedo
te cuento que hoy fue un dia muy gris y no puedo evitarlo,triste
hoy me mencionaron en algo que me puso en ridiculo,enojo
en serio hoy me fue de pelos de verdad,feliz
ultimamente no me merecia este trato y necesito que alguien me entienda,enojo
mira que mañana tengo examen y no he estudiado,miedo
te cuento que me da terror enfrentar esto solo de verdad,miedo
para serte honesto tengo miedo de que todo cambie todo el tiempo,miedo
de verdad siento una tristeza profunda que no pasa y me duele mucho,triste
bro siento que si me equivoco no hay vuelta atras,miedo
no te miento siento que no soy tan inteligente como los demas pero ya no puedo mas,triste
mira ya no tengo fuerzas para nada y no lo puedo ocultar,triste
ahora mismo no se si estan enojados conmigo o es mi imaginacion y quisiera que alguien me ayudara,miedo
me alegra mucho el resultado final de verdad,feliz
no se me tiene harto que siempre pase lo mismo de verdad,enojo
la verdad si esto no funciona no se que voy a hacer y nadie lo sabe,miedo
mira siento que estoy de mas pero no digo nada,triste
la verdad es que siento un vacio enorme dentro de mi y no lo puedo superar,triste
me parece increible tu actitud,enojo
ahora mismo estoy demasiado preocupado y no se que hacer,miedo
es que tengo miedo de decir algo y que lo tomen mal,miedo
te digo que encontre algo que habia perdido hace tiempo,feliz
te digo que estoy muy apagado y sin motivacion y quisiera que no fuera así,triste
en serio me dicen que me esfuerce mas cuando ya doy todo y ya,enojo
es que subi algo y nadie reacciono y me senti invisible,triste
para serte honesto me dejo de seguir en redes sociales y eso me tiene mal,triste
es que me pusieron obstaculos que no tenian sentido,enojo
me mencionaron en algo que me puso en ridiculo y ya,enojo
es que extraño mucho a las personas que ya no estan hermano,triste
fijate que me quitaron el trabajo y ya,triste
no te miento logre terminar algo que habia dejado pendiente y me tiene agotado,feliz
hoy no se que va a pasar por todo lo que paso,miedo
que mal tipo,enojo
me alegra ver que todo salio bien en serio,feliz
para serte honesto no duermo de la preocupacion,miedo
ultimamente me cobraron de mas sin avisar y necesito que alguien me entienda,enojo
me dieron acceso a la oportunidad que queria,feliz
definitivamente me hicieron perder el tiempo esta semana,enojo
es que ya no quiero hablar de eso porque nadie entiende y ya,triste
te digo que estoy muy asustado con las noticias,miedo
ahora mismo me asusta que piensen que soy raro y no lo digo seguido,miedo
oye me fue bien en el icfes,feliz
ahora mismo no duermo de la preocupacion sinceramente,miedo
te cuento que las cosas estan saliendo como quiero y ya,feliz
ahora mismo mi grupo hizo el trabajo sin contar conmigo pero ya no puedo mas,triste
me preocupa no poder lograrlo sinceramente,miedo
ultimamente no quiero salir solo,miedo
ultimamente ya no tengo fuerzas para nada pero no digo nada,triste
definitivamente estoy disfrutando mucho en este momento,feliz
quise decir algo pero no encontre las palabras y me afecta mucho,triste
estoy muy emocionado con el futuro y estoy muy contento,feliz
no te miento tengo miedo de mandar ese mensaje y que lo tomen mal y trato de disimularlo,miedo
oye llevo dias aguantando esto y ya no puedo y eso me tiene mal,enojo
te digo que me siento muy desconectado de todo y de todos pero bueno,triste
no se hoy todo el transporte me funciono perfecto bro,feliz
ahora mismo publicaron algo mio sin pedirme permiso y nadie lo entiende,enojo
la verdad me tienen harto con esto por todo lo que paso,enojo
me dieron la visa de verdad,feliz
te cuento que me dejaron,triste
no se tengo miedo de equivocarme y arrepentirme despues y nadie lo entiende,miedo
estoy muy feliz con el camino que tome y estoy muy contento,feliz
parce estoy con una nota hoy y no puedo evitarlo,feliz
te cuento que encontre lo que buscaba y no lo puedo ocultar,feliz
me entristece mucho lo que hiciste y quisiera que no fuera así,triste
hoy me da ansiedad publicar algo y que lo juzguen,miedo
fijate que me atracaron y no lo puedo creer,enojo
la verdad es que me corrigieron el tono sin escuchar lo que dije de verdad,enojo
mira todo lo que construi se cayo y me afecta mucho,triste
me preocupa mucho el futuro economico y ya,miedo
hermano me faltaron el respeto delante de todos y me tiene mal,enojo
la verdad defendi mi proyecto y quede bien pero bueno,feliz
no te miento me siento invisible y necesito que alguien me entienda,triste
ultimamente me canse de pedir lo mismo sin resultado y me tiene agotado,enojo
hoy me pone de buen humor todo hoy,feliz
mira nada de lo que hago vale la pena sinceramente,triste
no puedo creer que que manera tan irresponsable de actuar sin excusas,enojo
lo que pasa es que me tienes cansado con eso de verdad,enojo
parce me salio el traslado que pedi pero bueno,feliz
ultimamente estoy emocionado de verdad,feliz
lo que es cierto es que que dia tan especial fue hoy para mi y estoy muy contento,feliz
la verdad me interrumpieron todo el tiempo todo el tiempo,enojo
ahora mismo tengo ansiedad en este momento,miedo
hoy ya no hablo con alguien que queria mucho y no puedo evitarlo,triste
llegue a los seguidores que queria,feliz
me usaron y despues me ignoraron y eso me pesa,enojo
no tuve ganas de comer y no se que hacer,triste
para serte honesto me siento en paz y necesito que alguien me entienda,feliz
ahora mismo tengo miedo de lo que piensen de mi de verdad,miedo
la verdad todo me irrita desde hace dias,enojo
hoy hoy amaneci con toda la actitud pero bueno,feliz
te cuento que tengo miedo de embarrarla con esa decision hermano,miedo
para serte honesto alguien noto que estaba bien y me lo dijo y no se como manejarlo,feliz
te cuento que extraño como eran las cosas antes sinceramente,triste
la verdad esto me parece una falta de respeto total y me tiene mal,enojo
me copiaron el contenido y ni siquiera lo cambiaron y ya,enojo
ahora mismo me invitaron a participar en un proyecto y me afecta mucho,feliz
estoy muy feliz con mi vida,feliz
oye me da ansiedad abrir ese chat y me cuesta mucho,miedo
ultimamente abusaron de mi confianza otra vez,enojo
me eliminaron del grupo sin decir nada,enojo
lo que pasa es que logre lo que queria otra vez,feliz
la verdad todo cambio de golpe,triste
me salio todo bien y no me lo esperaba y ya,feliz
sinceramente estoy muy contento en este momento,feliz
ultimamente todo esta funcionando bien en este momento,feliz
ultimamente me hicieron sentir especial y no lo puedo ocultar,feliz
mira me preocupa no poder pagar el arriendo el otro mes la verdad,miedo
la verdad que perro tan feo y me afectó mucho,enojo
te cuento que siento que el tiempo paso y yo no hice nada la verdad,triste
sinceramente estoy muy angustiado sin encontrar salida y no puedo calmarlo,miedo
men siento que el tiempo se me acaba y no he hecho nada y no se que hacer,miedo
la verdad me hicieron fila tres horas y no me atendieron y ya,enojo
ultimamente no quise hablar con nadie hoy otra vez,triste
la verdad estoy harto de todo por todo lo que paso,enojo
publico algo que me dejo muy mal de verdad,triste
de verdad me duele mucho esta situacion y me duele mucho,triste
te cuento que me tocó repetir el tramite porque perdieron mis papeles y no se que hacer,enojo
es que me tocó repetir el tramite porque perdieron mis papeles parce,enojo
ultimamente estoy disfrutando mucho hoy,feliz
lo que pasa es que me copiaron el trabajo y lo publicaron como propio y no puedo evitarlo,enojo
es que me toco dejar los estudios por plata parce,triste
mira hoy fue un dia muy gris y me tiene mal,triste
estoy muy triste y no se que hacer y no se como seguir,triste
mira lo que paso me mandaron buenas noticias por whatsapp y me tiene agotado,feliz
no te miento me preocupa no poder pagar el arriendo el otro mes pero bueno,miedo
estoy muy asustado con lo que se avecina y no se que hacer,miedo
en serio me tiene muy irritado todo esto de verdad,enojo
realmente siento mucha presion,miedo
me siento muy bien con lo que hice en serio,feliz
tengo miedo de llegar a cierta edad sin haber logrado nada y no puedo evitarlo,miedo
mira lo que paso nadie noto que algo me pasaba y trato de disimularlo,triste
hoy me cancelaron la cita sin avisar y me afecta,enojo
por fin terminé algo que tenía pendiente hace meses,feliz
la verdad es que hoy fui honesto y salio bien y no se como manejarlo,feliz
me encanta este momento desde hace dias,feliz
de verdad me agota tu comportamiento y no lo entiendo,enojo
te cuento que no se como va a terminar esto y no puedo evitarlo,miedo
estoy muy asustado de perder lo que amo y me tiene muy nervioso,miedo
desde hace dias me eliminó de sus contactos sin decir nada y me pesa cargarlo solo,triste
me case hoy y ya,feliz
no te miento tengo panico de fallar frente a todos y ya,miedo
hoy me siento vulnerable por todo lo que paso,miedo
eso estuvo muy mal hecho sin excusas,enojo
bro publicaron algo mio sin pedirme permiso bro,enojo
en serio me tienes cansado con eso y no lo entiendo,enojo
la verdad no tengo ganas de nada otra vez,triste
mira lo que paso tengo miedo de que se den cuenta que no entiendo y no se que hacer,miedo
te juro que tengo panico de que me pregunten algo frente a todos y quisiera que alguien me ayudara,miedo
ultimamente usaron mis ideas sin darme credito y ya,enojo
sinceramente aprobe el examen y necesito que alguien me entienda,feliz
que injusto es todo esto y punto,enojo
se aprovecharon de que no sabia de verdad,enojo
para serte honesto manana tengo una prueba importante y estoy nervioso otra vez,miedo
en serio mi familia esta pasando un momento muy dificil y no se que hacer,triste
la verdad todo salio excelente otra vez,feliz
te cuento que tuve que dejar mis estudios y no puedo evitarlo,triste
siento que no soy suficiente men,triste
lo que pasa es que me duele el alma y me tiene mal,triste
te digo que me comparo mucho con los demas y me hace mal y no puedo evitarlo,triste
te cuento que hoy amaneci con toda la actitud parce,feliz
me tocó madrugar y no dormí nada y encima salio mal,triste
ultimamente me da ansiedad publicar algo y que lo juzguen y ya,miedo
la verdad el silencio de esa persona me preocupa mucho y ya,miedo
fijate que me dieron la beca de la universidad publica parce,feliz
mira lo que paso tengo panico de decir algo y que lo malinterpreten,miedo
para serte honesto me mintieron en mi cara y me afecta mucho,enojo
la verdad todo me irrita y eso empeora todo,enojo
es que me aterra pensar en lo que puede ocurrir y no puedo calmarlo,miedo
la verdad es que me da terror que noten que estoy nervioso pero necesitaba decirlo,miedo
en este momento me siento vulnerable todo el tiempo,miedo
no te miento me siento muy lejos de ser feliz la verdad,triste
la verdad es que no supe leer la situacion y meti la pata,triste
te juro que alguien me entendio sin que yo explicara mucho y me cuesta mucho,feliz
es que me robaron el celular y estoy muy mal parce,triste
la verdad tengo que madrugar,triste
es que tengo miedo de decir algo y que lo malinterpreten pero bueno,miedo
la verdad sali del pais por primera vez y no se que hacer,feliz
sinceramente hoy me di cuenta que avance mucho sinceramente,feliz
la verdad es que siento que nadie me toma en serio sinceramente,enojo
lo que pasa es que me agota tu comportamiento y punto,enojo
te cuento que me quitaron el trabajo todavía,triste
te cuento que me hablaron como si fuera tonto pero necesitaba decirlo,enojo
sinceramente me preocupa tanto que no puedo dormir,miedo
hoy amaneci con toda la actitud de verdad,feliz
estoy muy contento y agradecido de verdad,feliz
honestamente me frustras mucho con eso,enojo
estoy muy preocupado otra vez,miedo
me echaron la culpa de algo que hizo otro y me cuesta mucho,enojo
es que estoy esperando una respuesta y me tiene nervioso otra vez,miedo
la verdad es que me aterra pensar en perder el control y eso me preocupa mucho,miedo
ultimamente me sacaron la paciencia,enojo
la verdad es que estoy muy satisfecho con todo,feliz
vi que estaba en linea pero no me respondio y me pesa cargarlo solo,triste
no puedo evitar que siento un temor muy grande ahora mismo y no puedo calmarlo,miedo
ahora mismo todo me irrita desde hace dias,enojo
no te miento mi mejor amigo se fue a vivir lejos,triste
parce me tiene muy cansado esta gente y no se que hacer,enojo
no puedo creer que me parece increible tu actitud y punto,enojo
ahora mismo me siento incomodo con esto desde hace dias,miedo
sinceramente me robaron el celular y estoy muy mal la verdad,triste
me llamaron para el trabajo en medellin de verdad,feliz
me da pena decirlo pero alguien me entendio sin que yo explicara mucho y no puedo evitarlo,feliz
en serio me dieron la beca de la universidad publica,feliz
oye no voy a permitir que me hagas eso y no lo voy a tolerar,enojo
ultimamente hoy fui honesto y salio bien y me pesa cargarlo solo,feliz
hoy recibi buenas noticias todo el tiempo,feliz
sinceramente me siento muy bien conmigo mismo y eso me pesa,feliz
desde ayer tengo miedo de fallar y no puedo dormir,miedo
parce me tiene muy desanimado todo esto la verdad,triste
me hicieron repetir el tramite tres veces y ya,enojo
te juro que eso que hiciste estuvo muy feo sin excusas,enojo
fijate que siempre me pasa lo mismo con las mismas personas y me cuesta mucho,enojo
tengo miedo de que me cancelen por algo que dije men,miedo
hoy me faltaron el respeto delante de todos y eso me duele,enojo
la verdad todo me afecta demasiado,triste
no se no se que quiero hacer con mi vida,miedo
me da mucho miedo no estar listo y no puedo calmarlo,miedo
ahora mismo la vida esta siendo buena conmigo la verdad,feliz
oye me cambiaron el trabajo sin consultarme y no lo digo seguido,enojo
la verdad no se que quiero hacer con mi vida la verdad,miedo
sinceramente me siento sin energia otra vez,triste
en serio estoy muy apenado por todo lo que perdí de verdad,triste
la verdad me hicieron esperar demasiado y me afecta mucho,enojo
la verdad mi mejor amigo se fue para otro pais,triste
la verdad no hubo trafico hoy de verdad,feliz
me encontre plata en un bolsillo que no sabia y ya,feliz
no te miento me asusta mucho lo que esta pasando en el barrio pero bueno,miedo
fijate que tengo miedo de que me rechacen si digo lo que pienso,miedo
fijate que me dejo de seguir en redes sociales y quisiera que alguien me ayudara,triste
fijate que me salio redondo todo hoy y no puedo evitarlo,feliz
en serio perdi algo muy importante la verdad,triste
lo que pasa es que tengo un presentimiento muy malo todo el tiempo,miedo
en serio me dieron acceso a la oportunidad que queria y me afecta,feliz
mira me salio el negocio que queria la verdad,feliz
oye me cambiaron el trabajo sin consultarme y no se como manejarlo,enojo
desde ayer todo esta mejorando por todo lo que paso,feliz
vieja estoy muy ido hoy no se que me pasa y no puedo evitarlo,triste
es que siento que nadie me toma en serio y no se que hacer,enojo
ultimamente vi que estaba en linea pero no me respondio,triste
en este momento siento mucha presion y me afecta mucho,miedo
que quiere usted y no lo puedo creer,enojo
es que me hablaron muy mal pero no digo nada,enojo
te juro que pude mantener una conversacion sin angustiarme,feliz
definitivamente tengo ansiedad desde hace dias,miedo
sinceramente estoy muy angustiado con todo esto y no se que hacer,miedo
me pusieron en evidencia en un grupo y eso me tiene mal,enojo
la verdad por fin termine el proyecto todo el tiempo,feliz
mira me salio rico lo que cocine sinceramente,feliz
lo que pasa es que logre lo que queria y no se que hacer,feliz
extraño como era todo antes y no se que hacer,triste
hoy defendi mi proyecto y quede bien,feliz
es que no entiendo como la gente puede ser asi bro,enojo
fijate que ya no aguanto esta situacion y no puedo evitarlo,enojo
para serte honesto me fue muy mal en el examen pero ya no puedo mas,triste
lo que pasa es que mi jefe quedo contento con mi trabajo y eso me tiene mal,feliz
es que me respondieron que si al proyecto y me cuesta aceptarlo,feliz
la verdad hoy me di cuenta que avance mucho y no se que hacer,feliz
ultimamente ya no quiero esforzarme sinceramente,triste
te cuento que no tengo ganas de nada ultimamente,triste
sinceramente me quede sin trabajo y no se que hacer de verdad,triste
resulta que se murio mi perro esta mañana y me afectó mucho,triste
mira lo que paso me hicieron una videollamada sorpresa y quisiera que alguien me ayudara,feliz
es que no entendi el tono del mensaje y me confundi y me afecta mucho,triste
