text,emotion
sinceramente cambiaron las reglas sin avisarme y eso me tiene mal,enojo
me case hoy,feliz
parce me tiene con los nervios destrozados y ya,miedo
es que estoy apostando todo a esto y no se que hacer,miedo
no se si contarte pero me saco del grupo sin razon y me cuesta mucho,triste
honestamente no puedo soportar esta situacion y punto,enojo
sinceramente me siento solo y muy triste de verdad,triste
desde ayer no tengo ganas de nada ultimamente,triste
sinceramente todo me afecta demasiado desde hace dias,triste
sinceramente no puedo dejar de preocuparme sinceramente,miedo
no se si contarte pero tengo miedo de que no me entiendan pero ya no puedo mas,miedo
hoy todo esta saliendo bien y eso me alegra,feliz
es que nadie me escucha y es agotador,triste
hoy tengo miedo de que me rechacen si digo lo que pienso y no es facil,miedo
ahora mismo me siento vulnerable y no se que hacer,miedo
bro todo esta fluyendo muy bien ultimamente y no puedo evitarlo,feliz
ahora mismo ya no se que hacer por todo lo que paso,triste
la verdad las cosas ya no son como antes la verdad,triste
me puse muy feliz con eso parce y ya,feliz
el partido de colombia salio bien la verdad,feliz
es que hoy me senti muy bien conmigo mismo bro,feliz
estoy muy nervioso con esa vuelta la verdad,miedo
de verdad me duele mucho esta situacion y me duele mucho,triste
oye estoy esperando una respuesta y me tiene nervioso de verdad,miedo
ultimamente me dejo de seguir en redes sociales y nadie lo entiende,triste
para serte honesto me angustia no saber como interpretar eso y me afecta mucho,miedo
hoy borre todas mis fotos porque no me gustaba nada,triste
desde hace dias me enfurece que actuen asi todo el tiempo,enojo
en serio me aprobo el credito el banco y ya,feliz
la verdad mi abuelo ya no esta y me tiene mal,triste
sinceramente siento una rabia que no te imaginas,enojo
ultimamente nadie me eligio para su equipo y me tiene agotado,triste
me tiene harto que siempre pase lo mismo y nadie lo entiende,enojo
la verdad aprobe el examen y no puedo evitarlo,feliz
hoy hoy todo fluyo bien,feliz
realmente estoy agotado emocionalmente desde hace dias,triste
la verdad me tienen harto con esto por todo lo que paso,enojo
no te miento cargue con toda la responsabilidad del grupo y no se que hacer,enojo
la verdad me citaron para hablar y no se de que,miedo
me siento lleno de alegria en serio,feliz
oye eso me pone muy furioso parce y no es facil,enojo
fijate que me dejo mi novia y estoy muy bajoneado la verdad,triste
definitivamente odio esta situacion otra vez,enojo
no te miento siento que algo esta pasando y nadie me dice que y ya,miedo
sinceramente me tiene muy preocupado lo que esta pasando parce,miedo
es que me siento muy pleno con lo que estoy haciendo y nadie lo entiende,feliz
sinceramente no supe si era una broma o algo serio y no puedo evitarlo,triste
me da pena decirlo pero me dejo en visto y no respondio y no se como manejarlo,triste
mira no se si voy a poder sostenerme solo de verdad,miedo
hoy pague y no me dieron lo que ofrecieron y ya,enojo
fijate que siento que las cosas mejoran todo el tiempo,feliz
oye por fin me contestaron y no es facil admitirlo,feliz
bro hoy todo el transporte me funciono perfecto pero bueno,feliz
la verdad las cosas estan saliendo como quiero,feliz
parce me tiene muy bajoneado lo que paso y me tiene mal,triste
la verdad es que tengo un presentimiento malo muy fuerte,miedo
ultimamente hoy fue maravilloso esta semana,feliz
hoy me canse de ser el que siempre aguanta,triste
la verdad es que no se si ese mensaje significaba lo que creo y trato de disimularlo,miedo
tengo miedo de que mi respuesta suene agresiva y me cuesta mucho,miedo
mira me hicieron firmar algo que no entendi la verdad,enojo
ultimamente me da miedo decepcionarme a mi mismo la verdad,miedo
lo que pasa es que no supe si era una broma o algo serio y no es facil admitirlo,triste
hoy me case hoy y me afecta,feliz
mira me hablaron como si fuera tonto y no puedo evitarlo,enojo
sabes que que buena noticia para empezar el dia y estoy muy contento,feliz
para serte honesto me toco el dia libre,feliz
oye perdi algo muy importante y ya,triste
fijate que me pone muy nervioso tener que dar explicaciones y eso me duele,miedo
realmente esto me molesta demasiado por todo lo que paso,enojo
es que estoy con el animo muy por el piso y me cuesta mucho,triste
la verdad no me toman en serio por mi edad y me afecta,enojo
en este momento me siento inseguro por todo lo que paso,miedo
me da pena decirlo pero hoy no tuve que fingir que estaba bien y eso me tiene mal,feliz
siento una angustia que me paraliza de verdad,miedo
me tiene muy preocupado lo que esta pasando y me cuesta mucho,miedo
la verdad es que siento una pena muy grande por eso de verdad,triste
fijate que me sacaron de la jugada sin ninguna explicacion,enojo
oye vi que estaba en linea pero no me respondio y me afecta mucho,triste
la verdad todo esta empeorando en este momento,triste
ahora mismo estoy muy preocupado otra vez,miedo
mi mejor amigo se fue a vivir lejos,triste
fijate que me tiene muy molesto que nadie haga nada pero bueno,enojo
en serio quise decir algo pero no encontre las palabras y me tiene agotado,triste
la verdad termine mi tesis y me tiene mal,feliz
oye me trataron muy mal sin razon y necesito que alguien me entienda,enojo
hoy no se si voy a poder con lo que viene y me tiene mal,miedo
ahora mismo aprobe la materia que tenia perdida y trato de disimularlo,feliz
oye me trataron como si no existiera de verdad,enojo
de verdad me produce rabia pensar en lo que hiciste sin excusas,enojo
es que me paralizo cuando tengo que decidir y es agotador,miedo
no se si ese mensaje significaba lo que creo pero ya no puedo mas,miedo
desde hace dias me tiene angustiado no saber que va a pasar y no lo puedo ocultar,miedo
sabes que me alegra mucho el resultado final en serio,feliz
en serio termine la semana sin ningun problema y quisiera que alguien me ayudara,feliz
realmente me encanta este momento en este momento,feliz
el partido de colombia salio bien de verdad,feliz
hoy me tiene muy intranquilo todo esto y ya,miedo
siento que las cosas nunca mejoran y no lo puedo superar,triste
hoy me siento muy achantado hoy y no es facil,triste
hoy que alegria tan grande la mia y es lo mejor que me paso,feliz
vieja me tiene con los nervios destrozados y eso me duele,miedo
ahora mismo me siento nervioso todo el tiempo,miedo
es que hoy hice algo que me daba mucho miedo y salio bien y no se que hacer,feliz
sinceramente me graduo este mes y eso me pesa,feliz
sinceramente no puedo mas con esta situacion y me parece muy mal,enojo
definitivamente que problema tan absurdo ultimamente,enojo
me hicieron sentir especial otra vez,feliz
vieja me salio el negocio que queria,feliz
en este momento me siento horrible hoy desde hace dias,triste
no se si contarte pero me etiquetaron en algo que me alegro el dia y nadie lo entiende,feliz
me independice por fin de verdad,feliz
es que me rechazaron y duela mucho,triste
me contactaron por mi trabajo y quede feliz y ya,feliz
es que tengo miedo de no tener a nadie conmigo y no puedo calmarlo,miedo
la verdad es que siento que ya no tengo fuerzas para nada de verdad,triste
la verdad me tienen muy mamado con esa vuelta parce,enojo
parce perdi mi negocio y no se como seguir y no es facil,triste
que experiencia tan maravillosa fue de verdad,feliz
mira lo que paso tengo miedo de que me rechacen si digo lo que pienso y no puedo evitarlo,miedo
la verdad encontre algo que habia perdido hace tiempo y me afecta,feliz
ya no se que hacer ultimamente,triste
se aprovecharon de la buena fe mia la verdad,enojo
ahora mismo pude decir lo que sentia sin miedo y nadie lo entiende,feliz
ultimamente ya no se que hacer otra vez,triste
te digo que me entristece mucho la situacion y no lo puedo superar,triste
te juro que siento que finjo estar bien tan seguido que ya ni se y me tiene pensando mucho,triste
el silencio de esa persona me preocupa mucho,miedo
sinceramente me asusta mucho no saber que hacer y no puedo calmarlo,miedo
me hicieron perder el tiempo en este momento,enojo
desde hace dias nadie me escucha y me tiene mal,triste
te cuento que logre lo que queria sinceramente,feliz
hoy todo el mundo sigue y yo estoy quieto la verdad,triste
estoy muy triste con lo que me conto de verdad,triste
eres completamente irresponsable y no lo entiendo,enojo
ultimamente ya no tengo ganas,triste
hermano me da pena que se den cuenta que no entendi de verdad,miedo
mira lo que paso alguien me entendio sin que yo explicara mucho y eso me tiene mal,feliz
el silencio de esa persona me preocupa mucho y ya,miedo
ultimamente todo me irrita y me afecta mucho,enojo
te digo que no se para donde voy y eso me asusta y me pone triste,triste
mira me descuentan del sueldo cosas que no firmé y no se que hacer,enojo
desde ayer me siento furioso por todo lo que paso,enojo
ahora mismo me interrumpieron todo el tiempo y ya,enojo
me tienes harto de verdad y punto,enojo
para serte honesto me dejaron solo en esto todo el tiempo,triste
me da mucha pena decirle eso a la gente de verdad,miedo
ultimamente no aguanto mas y me afecta mucho,enojo
me eliminó de sus contactos sin decir nada y no lo digo seguido,triste
hoy publicaron algo mio sin pedirme permiso,enojo
parce no alcance el cupo en la universidad publica y nadie lo sabe,triste
para serte honesto me cambiaron el trabajo sin consultarme y no se como manejarlo,enojo
estoy muy triste y sin animo de nada y quisiera que no fuera así,triste
para serte honesto me dieron la nota que esperaba y no lo digo seguido,feliz
hoy estrene mi apartamento y ya,feliz
me tiene muy intranquilo todo esto y me cuesta mucho,miedo
oye me tratan diferente y no entienden por que me molesta y me tiene agotado,enojo
la verdad quede encantado con como salio todo y ya,feliz
ahora mismo estoy disfrutando mucho por todo lo que paso,feliz
desde hace dias la vida esta siendo buena conmigo otra vez,feliz
sinceramente me da ansiedad cuando hay silencio en la conversacion y eso me tiene mal,miedo
la verdad me sacaron de la jugada sin ninguna explicacion pero bueno,enojo
hoy me alegra mucho tu compania,feliz
en serio estoy muy asustado con lo que puede pasar,miedo
me da pena decirlo pero hablaron de algo que yo no sabia y me senti excluido pero ya no puedo mas,triste
hoy que buen momento para estar feliz y es lo mejor que me paso,feliz
desde hace dias me respondio el mensaje que esperaba y no puedo evitarlo,feliz
mira no puedo creer lo que hicieron,enojo
oye me tiene angustiado no saber que va a pasar todo el tiempo,miedo
no te miento me preocupa no poder pagar el arriendo el otro mes hermano,miedo
sinceramente me tratan diferente y no entienden por que me molesta y quisiera que alguien me ayudara,enojo
lo que pasa es que me dieron el viernes libre y no es facil admitirlo,feliz
ahora mismo estoy demasiado angustiado para pensar de verdad,miedo
no te miento tengo una entrevista y me muero del susto y no lo puedo ocultar,miedo
oye hoy todo fluyo bien pero no digo nada,feliz
no puedo mas con tanto y me afecta mucho,triste
sinceramente me pidieron algo de ultimo momento y me tiene agotado,enojo
la verdad tengo mucho miedo y no puedo dormir,miedo
no quise hablar con nadie hoy y me afecta mucho,triste
no se si contarte pero logre terminar algo que habia dejado pendiente y quisiera que alguien me ayudara,feliz
es que fuimos a la finca y fue muy bacano de verdad,feliz
no te miento el resultado me tiene muy angustiado y me afecta mucho,miedo
me rechazaron y duela mucho y eso me pesa,triste
ultimamente me asusta no saber si voy a conseguir trabajo bro,miedo
en serio no tuve ganas de comer y eso me pesa,triste
de verdad que irresponsable eres con todo y me parece muy mal,enojo
no se me canse de esperar que las cosas cambien solas y ya,triste
en serio hoy fue exactamente lo que necesitaba bro,feliz
no puedo evitar que siento una ansiedad tremenda ahora y me tiene muy nervioso,miedo
ultimamente me fallaron cuando mas los necesitaba y no puedo evitarlo,triste
me cobraron mas de lo que decia el precio hermano,enojo
lo que pasa es que me duele mucho lo que dijiste y me duele mucho,triste
me citaron a una reunión sin decirme de qué se trata,miedo
sinceramente siento que estoy muy solo en todo esto y no se como seguir,triste
sabes que que dia tan especial fue hoy y es lo mejor que me paso,feliz
es que estoy con las personas que amo,feliz
me siento muy lejos de todos y me afecta,triste
capturaron una conversacion privada y la compartieron men,enojo
para serte honesto no me merecia este trato,enojo
ahora mismo me da terror que noten que estoy nervioso pero necesitaba decirlo,miedo
es que me dejaron esperando sin explicacion de verdad,enojo
desde hace dias logre terminar algo que habia dejado pendiente y eso me tiene mal,feliz
ahora mismo estoy rodeado de gente y me siento solo y me afecta mucho,triste
sinceramente se llevaron el credito de lo que yo hice y no puedo evitarlo,enojo
hoy termine el curso que venia haciendo de verdad,feliz
en serio me tienen muy hastiado con lo mismo,enojo
pase el dia en cama otra vez,triste
desde ayer me siento destruido y me afecta mucho,triste
la verdad sali del pais por primera vez la verdad,feliz
lo que pasa es que me da ansiedad conocer gente nueva sinceramente,miedo
hoy me paralizo cuando tengo que decidir pero no digo nada,miedo
parce aprobe todas las materias este semestre,feliz
ahora mismo ya no quiero hablar y me afecta mucho,triste
te digo que me comi algo rico y me alegro el dia,feliz
estoy muy bajo de animo desde entonces y no lo puedo superar,triste
no te miento me dejo mi novio y estoy muy mal,triste
ultimamente siento demasiado temor y me afecta mucho,miedo
realmente todo esta saliendo bien hoy,feliz
definitivamente no se que va a pasar ultimamente,miedo
es que me siento muy lejos de todos,triste
la verdad me citaron para hablar y no se de que y no puedo evitarlo,miedo
te juro que me interrumpieron cada vez que hable y trato de disimularlo,enojo
en serio estoy emocionalmente agotado sinceramente,triste
termine la semana sin ningun problema y no se como manejarlo,feliz
no te miento me asusta mucho lo que esta pasando en el barrio pero bueno,miedo
me asusta mucho lo que esta pasando en el barrio la verdad,miedo
no te miento me hablaron muy mal todo el tiempo,enojo
vieja hoy fue un dia muy chévere,feliz
me saca de quicio esa actitud y no lo entiendo,enojo
vieja tengo panico de que me pregunten algo en clase y me cuesta mucho,miedo
en serio estoy con el animo muy por el piso y me tiene mal,triste
fijate que me llamaron de la empresa y no dijeron para que y me cuesta mucho,miedo
desde hace dias me rechazaron y duela mucho y me afecta mucho,triste
te cuento que me asusta mucho lo que esta pasando en el barrio pero bueno,miedo
la verdad me dijeron que si y despues que no y no puedo evitarlo,enojo
todo el mundo sigue y yo estoy quieto y no puedo evitarlo,triste
desde hace dias no entiendo nada y me da verguenza preguntar y no se como manejarlo,triste
lo que pasa es que me mandaron un mensaje muy agresivo y nadie lo entiende,enojo
sinceramente hoy me di cuenta que avance mucho,feliz
no te miento tengo miedo de decir algo fuera de lugar y trato de disimularlo,miedo
la verdad me tienen muy hastiado con lo mismo pero bueno,enojo
lo que pasa es que mi pareja me sorprendio,feliz
oye me case hoy y me afecta,feliz
estoy muy decaido y sin esperanza,triste
es que me tiene muy cansado esta gente y me tiene mal,enojo
sinceramente tengo panico de que me pregunten algo en clase la verdad,miedo
la verdad me da panico enviar ese mensaje y quedar mal y no puedo evitarlo,miedo
te cuento que que descaro tan grande el de esa gente,enojo
hoy tengo panico en este momento,miedo
hoy me comparo mucho con los demas y me hace mal,triste
ultimamente siento que finjo estar bien tan seguido que ya ni se bro,triste
me saca de mis casillas esto,enojo
en este momento me siento furioso y me afecta mucho,enojo
te digo que que buena noticia me dieron hoy y no lo puedo creer,feliz
oye eres completamente irresponsable sin excusas,enojo
en serio tengo miedo de tomar la decision equivocada y eso me pesa,miedo
capturaron una conversacion privada y la compartieron y me tiene pensando mucho,enojo
definitivamente tengo ansiedad por lo que viene,miedo
la verdad me toco irme del barrio que queria pero bueno,triste
ultimamente no voy a tolerar esto mas,enojo
hoy me llamaron de la empresa y no dijeron para que y nadie lo sabe,miedo
definitivamente ya no se que hacer y no se que hacer,triste
me duele el corazon con lo que paso y quisiera que no fuera así,triste
en serio no supe si era una broma o algo serio y no se como manejarlo,triste
te cuento que me dejaron esperando sin explicacion y ya,enojo
es que me cobraron de mas sin avisar todo el tiempo,enojo
es que me preocupa haber dicho algo sin darme cuenta y nadie lo entiende,miedo
hoy me piden experiencia para un trabajo de principiante de verdad,enojo
para serte honesto me toco el dia libre todo el tiempo,feliz
sinceramente todo tiene sentido ahora sinceramente,feliz
mira nacio mi hija la verdad,feliz
fijate que estoy muy nervioso con esa vuelta de verdad,miedo
la verdad es que me saca de mis casillas esto y eso no esta bien,enojo
en este momento siento mucha presion y me afecta mucho,miedo
parce no alcance el cupo en la universidad publica y ya,triste
me echaron sin explicacion,triste
no puedo creer que me frustras mucho con eso y me parece muy mal,enojo
mira me ignoraron cuando tenia toda la razon y nadie lo sabe,enojo
te cuento que perdi mi negocio y no se como seguir y me tiene mal,triste
me da pena decirlo pero me mandaron buenas noticias por whatsapp y me cuesta mucho,feliz
hermano tengo miedo de que me rechacen si digo lo que pienso,miedo
la verdad es que siento una rabia que no te imaginas y me parece muy mal,enojo
fijate que me tienen hasta la coronilla y me tiene mal,enojo
mi familia esta pasando un momento muy dificil y no es facil,triste
me hicieron esperar demasiado y me tiene mal,enojo
hoy fue mejor de lo que esperaba y no se que hacer,feliz
no puedo creer tanta irresponsabilidad,enojo
hoy me tienen muy hastiado con lo mismo,enojo
men me comparo mucho con los demas y me hace mal la verdad,triste
hoy hoy todo fluyo bien y no lo puedo ocultar,feliz
me fui de la reunion antes porque no podia mas y me afecta mucho,triste
ahora mismo me sacaron la paciencia esta semana,enojo
la verdad es que me subieron el sueldo sinceramente,feliz
no se si contarte pero no quiero mandar el audio por miedo a como sueno y no se que hacer,miedo
lo que es cierto es que estoy muy contento y agradecido y no lo puedo creer,feliz
parce ya no somos lo que eramos y eso me entristece,triste
la verdad me da ansiedad ver cuanta gente vio mi historia y no se que hacer,miedo
mira lo que paso me excluyeron de la decision sin explicacion y nadie lo entiende,enojo
hoy todo esta funcionando bien desde hace dias,feliz
realmente ya me canse de esto y no se que hacer,enojo
realmente tengo ansiedad en este momento,miedo
en este momento recibi buenas noticias,feliz
no te miento me tiene muy enojado esa situacion y eso me duele,enojo
hoy hoy fue un mal dia y me afecta mucho,triste
estoy muy bajoneado con la noticia,triste
hermano me tocó pagar una multa que no era justa pero bueno,enojo
no te miento me asusta mucho lo que esta pasando en el barrio de verdad,miedo
honestamente esto arruino mi dia todo el tiempo,enojo
oye hicimos una reunioncita y quedo muy buena la verdad,feliz
hoy esto me parece una falta de respeto total y ya,enojo
te cuento que me preocupa no poder lograrlo la verdad,miedo
hoy tengo miedo de que me quiten el trabajo y no se que hacer,miedo
es que me parece una falta de respeto y punto,enojo
estoy muy nervioso por lo que puede pasar y me tiene muy nervioso,miedo
en serio me dejo mi novia y estoy muy bajoneado la verdad,triste
termino mi carrera la verdad,feliz
llevo dias aguantando esto y ya no puedo y no es facil admitirlo,enojo
no te miento publicaron algo mio sin pedirme permiso y no puedo evitarlo,enojo
ahora mismo me preocupa el futuro ultimamente,miedo
en serio me senti aceptado como soy y quisiera que alguien me ayudara,feliz
me siento muy agradecido con la vida hoy pero bueno,feliz
ultimamente tengo miedo de que todo cambie todo el tiempo,miedo
desde ayer no se que va a pasar en este momento,miedo
mira me llegó una carta del juzgado y no se que es pero bueno,miedo
ahora mismo la vida esta siendo buena conmigo y no lo puedo ocultar,feliz
hoy odio esta situacion todo el tiempo,enojo
te cuento que me llamaron de un numero desconocido y no puedo evitarlo,miedo
te cuento que me pone muy nervioso tener que dar explicaciones la verdad,miedo
que manera tan irresponsable de actuar,enojo
te cuento que no puedo dejar de preocuparme la verdad,miedo
no puedo evitar que siento una angustia que me paraliza y eso me preocupa mucho,miedo
ultimamente no tengo ganas de nada y no se que hacer,triste
ahora mismo estoy demasiado cansado ultimamente,triste
oye me cambiaron el turno sin avisarme parce,enojo
te juro que siento que cargo con demasiado para mi edad y no es facil,triste
te cuento que me fue bien en el icfes y ya,feliz
es que todo me genera ansiedad ultimamente y no puedo evitarlo,miedo
no te miento me salio rico lo que cocine pero no digo nada,feliz
realmente me siento inseguro todo el tiempo,miedo
en serio me rindo de intentarlo pero no digo nada,triste
fijate que llegue a los seguidores que queria,feliz
me da pena decirlo pero me prometieron que no volveria a pasar y me pesa cargarlo solo,enojo
sinceramente tengo miedo de haber arruinado algo sin saberlo y me afecta mucho,miedo
bro me angustia pensar que quiza elegi mal mi carrera men,miedo
no se si contarte pero no supe si era una broma o algo serio y no se como manejarlo,triste
es que me siento muy pleno con lo que estoy haciendo bro,feliz
no te miento aprobe todas las materias este semestre y me cuesta mucho,feliz
hoy tengo panico otra vez,miedo
la verdad me dejaron y no puedo evitarlo,triste
sinceramente logre cerrar el trato que necesitaba y trato de disimularlo,feliz
ultimamente tengo mucho miedo esta semana,miedo
en serio tengo miedo de que me juzguen sinceramente,miedo
que buena experiencia vivimos juntos sin duda,feliz
me siento derrotado esta semana,triste
ahora mismo me siento motivado y eso me alegra,feliz
la verdad hoy me senti muy bien conmigo mismo,feliz
hoy me toco el dia libre,feliz
te digo que me dicen que deberia estar agradecido por poco y ya,enojo
oye se burlaron de algo que me costo decir y nadie lo entiende,enojo
oye vi que estaba en linea pero no me respondio y no es facil admitirlo,triste
la verdad me saca de quicio que no cambien nada,enojo
lo que pasa es que me enferma tu comportamiento y ya me canse,enojo
oye tengo miedo de que sea algo grave la verdad,miedo
en serio me cancelaron a ultimo momento y no puedo evitarlo,enojo
me da ira tu actitud,enojo
la verdad me piden experiencia para un trabajo de principiante la verdad,enojo
es que termine el curso que venia haciendo y nadie lo entiende,feliz
la verdad es que tengo miedo de haber arruinado algo sin saberlo de verdad,miedo
hoy me tienen hasta la coronilla y no puedo evitarlo,enojo
oye no hubo trafico hoy,feliz
hoy me toco vender el carro que tanto queria,triste
hoy llegue a tiempo a todo y necesito que alguien me entienda,feliz
es que borre todas mis fotos porque no me gustaba nada y no puedo evitarlo,triste
en serio me cansa tu falta de madurez en serio,enojo
en serio estoy muy triste con lo que me conto y quisiera que no fuera así,triste
mira que impotencia siento con todo esto,enojo
la verdad mi abuela ya no esta y ya,triste
desde hace dias me copiaron el trabajo y lo publicaron como propio y eso me tiene mal,enojo
la verdad es que me duele mucho haberlo perdido y no se como seguir,triste
me siento muy solo en esta ciudad la verdad,triste
ultimamente nadie noto que algo me pasaba pero necesitaba decirlo,triste
oye estoy que no me la creo y me tiene mal,feliz
la verdad me pelee con mi mejor amigo y me duele mucho la verdad,triste
me pelee con mi mejor amigo y me duele mucho la verdad,triste
te cuento que tengo un mal presentimiento desde ayer y ya,miedo
mira me puse muy feliz con eso parce,feliz
la verdad me siento solo aunque este rodeado de gente y no es facil,triste
desde ayer me siento furioso y me afecta mucho,enojo
es que el medico me dijo que necesita hablar conmigo,miedo
hoy recibi buenas noticias todo el tiempo,feliz
es que me da una ira terrible sin excusas,enojo
te juro que me exigen resultados sin darme las herramientas de verdad,enojo
la verdad estoy muy preocupado y no se que hacer,miedo
ultimamente me siento vulnerable esta semana,miedo
oye siento que voy a fallar manana,miedo
de verdad que buena noticia para empezar el dia,feliz
desde hace dias tengo miedo de que sea algo grave y es agotador,miedo
realmente estoy muy preocupado esta semana,miedo
te digo que no se que quiero hacer con mi vida y no puedo evitarlo,miedo
hoy me quede callado cuando debi haber hablado y me afecta mucho,triste
oye el silencio de esa persona me preocupa mucho,miedo
definitivamente odio esta situacion por todo lo que paso,enojo
te digo que me siento muy vacio aunque tenga cosas que hacer de verdad,triste
en serio estoy muy enojado otra vez,enojo
es que me da pavor pensar en eso y no puedo calmarlo,miedo
recibi buenas noticias en este momento,feliz
te digo que que alegria me da ver tus logros,feliz
la verdad es que me da mucho miedo estar solo en esto y eso me preocupa mucho,miedo
en serio me pusieron a hacer el trabajo de todos y nadie lo sabe,enojo
lo que pasa es que me irritas con ese comportamiento sin excusas,enojo
te juro que hoy fui honesto y salio bien y me pesa cargarlo solo,feliz
ahora mismo me cancelaron a ultimo momento y no lo puedo ocultar,enojo
la verdad es que me produce rabia pensar en lo que hiciste,enojo
por fin me compre lo que queria la verdad,feliz
ultimamente me tienen harto con esto y me afecta mucho,enojo
desde hace dias no tuve ganas de comer y es agotador,triste
la verdad es que tengo panico de no saber como actuar en esa situacion y me cuesta mucho,miedo
hoy me cayo del cielo esa noticia hermano,feliz
tengo temor de que todo cambie de golpe y me tiene muy nervioso,miedo
realmente me siento nervioso esta semana,miedo
de verdad me siento muy afortunado y es lo mejor que me paso,feliz
es que tuve que repetir lo mismo mil veces y es agotador,enojo
ultimamente me da ansiedad publicar algo y que lo juzguen y nadie lo entiende,miedo
la verdad me ignoraron completamente y eso me pesa,enojo
que descaro tan grande el de esa gente y nadie lo sabe,enojo
ya no hablo con mi parcero de toda la vida hermano,triste
te digo que hoy me senti muy bien conmigo mismo y me cuesta aceptarlo,feliz
ahora mismo tengo panico y no puedo dormir,miedo
te digo que hoy me senti muy bien conmigo mismo y me afecta,feliz
estoy con las personas que amo y no puedo evitarlo,feliz
me hablaron muy mal y me tiene mal,enojo
me siento muy decaido en este momento y me duele mucho,triste
me parece increible tu actitud,enojo
realmente no se que va a pasar en este momento,miedo
sinceramente tengo miedo de que me juzguen y es agotador,miedo
la verdad es que me asusta mucho la situacion actual y no se que hacer,miedo
te juro que me bloqueo sin darme una explicacion y trato de disimularlo,triste
sinceramente hoy me fue de pelos,feliz
no soporto esta situacion ultimamente,enojo
bro me siento muy desconectado de todo y de todos y me afecta,triste
te cuento que me dejaron plantado y ni se disculparon la verdad,enojo
tengo un presentimiento muy malo,miedo
te cuento que me faltaron el respeto delante de todos y eso me duele,enojo
lo que pasa es que siento que no le importo a nadie de verdad y no puedo evitarlo,triste
la verdad es que quise decir algo pero no encontre las palabras y no se que hacer,triste
no te miento no supe leer la situacion y meti la pata y trato de disimularlo,triste
oye me ofrecieron un mejor cargo pero ya no puedo mas,feliz
sinceramente me bloquearon sin darme ninguna explicacion,enojo
en este momento me siento horrible en este momento,triste
la verdad esto es injusto y no se que hacer,enojo
tengo miedo de que me rechacen si digo lo que pienso y nadie lo sabe,miedo
me siento muy perdido con mi vida y ya,triste
lo que pasa es que por fin lo logre y eso me pesa,feliz
parce me faltaron el respeto delante de todos y ya,enojo
oye me senti aceptado como soy y me afecta mucho,feliz
la verdad estoy muy emocionado por todo lo que paso,feliz
te digo que me duele mucho lo que significa esto y no se como seguir,triste
es que no se si voy a poder con esto pero no digo nada,miedo
en serio me duele mucho lo que me dijeron y me duele mucho,triste
ultimamente no puedo mas con tanto y no se que hacer,triste
sabes que estoy muy contento con el resultado de verdad,feliz
siento que todo el mundo sigue y yo me quede quieto parce,triste
hoy se rieron de como me exprese y eso me tiene mal,enojo
hoy me tiene muy preocupado lo que esta pasando y nadie lo sabe,miedo
perdi algo muy importante y ya,triste
la verdad cumpli mi meta del año y no se que hacer,feliz
es que me saca de quicio que no cambien nada y ya,enojo
te cuento que siento que todo el mundo sigue y yo me quede quieto parce,triste
me pidieron que fuera a una reunion sin decirme de que pero necesitaba decirlo,miedo
sinceramente me toco el dia libre otra vez,feliz
la verdad me cuesta aceptar que eso ya termino de verdad,triste
