text,emotion
hoy que buena noticia me dieron hoy,feliz
siento una rabia horrible ahora mismo de verdad,enojo
definitivamente me siento horrible hoy y me afecta mucho,triste
estoy muy asustado de perder lo que amo y me tiene muy nervioso,miedo
que rabia me da todo esto,enojo
la verdad es que que mal te portas siempre,enojo
realmente estoy harto de esto todo el tiempo,enojo
oye no puedo con esta rabia que siento sin excusas,enojo
te digo que siento que ya no tengo fuerzas para nada y no lo puedo superar,triste
desde ayer me hicieron perder el tiempo y me afecta mucho,enojo
no voy a tolerar esto mas en serio,enojo
de verdad me siento muy mal por todo lo vivido y me duele mucho,triste
la verdad es que que dia tan bueno fue este y estoy muy contento,feliz
estoy muy triste y no se que hacer y no lo puedo superar,triste
todo esta mejorando y no se que hacer,feliz
honestamente no puedo creer tanta irresponsabilidad en serio,enojo
ahora mismo me sacaron la paciencia y no se que hacer,enojo
tengo temor de que todo cambie de golpe y me tiene muy nervioso,miedo
estoy muy contento con mi progreso de verdad,feliz
realmente estoy muy emocionado y no se que hacer,feliz
hoy que suerte tan grande la mia y estoy muy agradecido,feliz
en este momento todo esta mejorando ultimamente,feliz
que alegria tan grande la mia,feliz
ahora mismo esto arruino mi dia ultimamente,enojo
sinceramente siento una tristeza muy grande ahora y me duele mucho,triste
te juro que no puedo creer lo que hiciste de verdad,enojo
oye me decepciono mucho lo que hiciste y no lo entiendo,enojo
ahora mismo me siento muy triste por todo lo que paso,triste
ahora mismo esto me molesta mucho en este momento,enojo
en serio que dia tan especial fue hoy para mi sin duda,feliz
definitivamente siento demasiado temor ultimamente,miedo
es que me aterra pensar en lo que puede ocurrir y no puedo calmarlo,miedo
ahora mismo tengo panico ultimamente,miedo
estoy muy emocionado con lo que viene,feliz
hoy todo salio perfecto por todo lo que paso,feliz
en serio que buena suerte la mia hoy y es lo mejor que me paso,feliz
hoy fue un dia increible,feliz
hoy estoy disfrutando mucho de verdad,feliz
en este momento me siento feliz con todo lo que paso,feliz
mira no voy a tolerar ese comportamiento en serio,enojo
en este momento no se que va a pasar por todo lo que paso,miedo
eso no estuvo bien para nada y no lo entiendo,enojo
estoy muy satisfecho con todo y estoy muy contento,feliz
mira no voy a tolerar ese comportamiento de verdad,enojo
honestamente no puedo creer lo que hiciste y me parece muy mal,enojo
de verdad estoy muy deprimido en este momento y me duele mucho,triste
lo que pasa es que siento que las cosas nunca mejoran de verdad,triste
en este momento estoy muy contento en este momento,feliz
la verdad es que tengo miedo de no poder manejar esto y eso me preocupa mucho,miedo
hoy estoy muy enojado todo el tiempo,enojo
realmente estoy muy preocupado ultimamente,miedo
la verdad es que ya me colmaste la paciencia y no lo voy a tolerar,enojo
hoy estoy pasando un gran momento por todo lo que paso,feliz
definitivamente no quiero salir solo ultimamente,miedo
en este momento estoy agradecido por todo por todo lo que paso,feliz
honestamente estoy demasiado molesto ultimamente,enojo
ahora mismo me siento muy triste todo el tiempo,triste
definitivamente me siento inseguro desde hace dias,miedo
la verdad esto es injusto,enojo
siento un dolor muy grande en el pecho,triste
realmente todo salio mal ultimamente,triste
te juro que que actitud tan mala la tuya y no lo entiendo,enojo
hoy estoy agradecido por todo,feliz
de verdad eres increiblemente irresponsable y punto,enojo
la verdad estoy disfrutando mucho con todo lo que paso,feliz
la verdad es que me da terror no saber que va a pasar y me tiene muy nervioso,miedo
en serio siento que todo se fue y no volvera y no se como seguir,triste
en serio me duele mucho haber perdido eso,triste
hoy todo me fastidia esta semana,enojo
estoy muy decaido y no quiero hablar y no lo puedo superar,triste
no te lo voy a perdonar tan facil sin excusas,enojo
realmente tengo ansiedad,miedo
sinceramente hoy fue un gran dia y no se que hacer,feliz
realmente estoy muy enojado desde hace dias,enojo
la verdad todo esta saliendo bien y me encanta,feliz
me asusta mucho pensar en el futuro,miedo
la verdad me siento motivado ultimamente,feliz
me hace muy bien sentirme asi,feliz
hoy estoy emocionado y eso me alegra,feliz
estoy muy apenado con lo que paso,triste
siento una tristeza que no me abandona y no lo puedo superar,triste
la verdad ya no tengo ganas otra vez,triste
realmente siento demasiado temor desde hace dias,miedo
estoy muy decaido y sin fuerzas y me duele mucho,triste
que buena racha estoy teniendo,feliz
me duele mucho lo que significa esto y no se como seguir,triste
te digo que me siento muy feliz ahora mismo sin duda,feliz
es que eres una persona muy egoista y no lo entiendo,enojo
desde ayer todo salio excelente desde hace dias,feliz
ahora mismo me siento vacio ultimamente,triste
no puedo evitar que me asusta mucho la incertidumbre y me tiene muy nervioso,miedo
mira me da una bronca tremenda y me parece muy mal,enojo
en serio que buena racha estoy teniendo,feliz
es que estoy muy preocupado por lo que puede venir,miedo
en serio estoy muy triste con lo que me conto,triste
sinceramente me tienen harto con esto en este momento,enojo
estoy muy apagado y sin motivacion,triste
no puedo evitar que tengo panico de que algo me pase,miedo
sinceramente estoy muy preocupado en este momento,miedo
lo que es cierto es que que buena noticia me dieron hoy y es lo mejor que me paso,feliz
tengo mucho miedo ultimamente,miedo
realmente estoy demasiado molesto ultimamente,enojo
no voy a tolerar esto mas y me parece muy mal,enojo
la verdad quiero estar solo y me afecta mucho,triste
te juro que ya basta con esa actitud sin excusas,enojo
lo que pasa es que me tienen harto con todo esto,enojo
que rabia me da todo esto y no lo entiendo,enojo
me siento muy solo y abandonado,triste
desde ayer me encanta este momento por todo lo que paso,feliz
te digo que tengo temor de que todo cambie de golpe,miedo
en serio que buenas noticias me llegaron hoy,feliz
la verdad es que estoy muy bajoneado con todo,triste
me cansas con tanta excusa en serio,enojo
me alegra mucho saber eso y estoy muy agradecido,feliz
realmente todo me pone mal otra vez,triste
me encanta este momento esta semana,feliz
ahora mismo estoy muy preocupado en este momento,miedo
lo que pasa es que estoy muy triste y no quiero nada de verdad,triste
estoy muy bajo de animo y sin ganas,triste
estoy muy agradecido por todo en serio,feliz
hoy que dia tan especial fue hoy y no lo puedo creer,feliz
sinceramente me duele mucho esto esta semana,triste
definitivamente siento demasiado temor por todo lo que paso,miedo
ultimamente me da demasiada rabia otra vez,enojo
en este momento estoy demasiado cansado todo el tiempo,triste
realmente nada tiene sentido todo el tiempo,triste
sinceramente siento una inquietud muy grande ahora,miedo
no puedo creer que eres un maleducado sin remedio y eso no esta bien,enojo
hoy tengo ansiedad y me afecta mucho,miedo
la verdad es que ya me canse de repetirte lo mismo y eso no esta bien,enojo
lo que pasa es que me duele mucho haber fallado en eso y me duele mucho,triste
lo que pasa es que estoy muy apenado por lo que paso y no se como seguir,triste
estoy muy preocupado todo el tiempo,miedo
definitivamente me siento lleno de energia y no se que hacer,feliz
hoy todo salio perfecto y no se que hacer,feliz
ultimamente ya no aguanto mas desde hace dias,enojo
sabes que me pone de buen humor todo hoy en serio,feliz
que injusto es todo esto en serio,enojo
ahora mismo me siento horrible hoy por todo lo que paso,triste
la verdad es que me da mucho miedo enfrentar esta situacion de verdad,miedo
siento una melancolia muy grande ahora,triste
te digo que estoy muy apenado y no se que decir,triste
la verdad me siento orgulloso y no se que hacer,feliz
lo que es cierto es que estoy muy feliz y emocionado sin duda,feliz
es que siento una angustia muy grande ahora y no puedo calmarlo,miedo
la verdad es que que experiencia tan maravillosa fue,feliz
no puedo evitar que siento un miedo enorme que no puedo controlar y me tiene muy nervioso,miedo
no puedo con esta rabia que siento,enojo
la verdad me siento motivado en este momento,feliz
ultimamente todo me irrita todo el tiempo,enojo
realmente ya me canse de esto todo el tiempo,enojo
me da mucho miedo estar solo en esto,miedo
la verdad me siento destruido ultimamente,triste
hoy hoy fue maravilloso por todo lo que paso,feliz
es que me asusta mucho la situacion actual y no se que hacer,miedo
en este momento todo me pone mal ultimamente,triste
en serio me hace feliz saber que estas bien y estoy muy contento,feliz
me siento muy solo y abandonado y quisiera que no fuera así,triste
de verdad estoy muy apenado por lo que paso de verdad,triste
en este momento odio esta situacion otra vez,enojo
es que no puedo creer que hayas hecho eso y eso no esta bien,enojo
es que me da miedo no poder controlarlo y no puedo calmarlo,miedo
de verdad no se puede confiar en ti y no lo voy a tolerar,enojo
la verdad todo esta mejorando esta semana,feliz
ultimamente tengo panico en este momento,miedo
ahora mismo me siento feliz y me encanta,feliz
ahora mismo todo esta empeorando desde hace dias,triste
en este momento me siento decepcionado ultimamente,triste
te digo que siento una angustia muy grande ahora y no puedo calmarlo,miedo
de verdad me alegra mucho saber eso de verdad,feliz
me da mucho miedo la situacion actual y eso me preocupa mucho,miedo
en serio que descarado eres en serio y ya me canse,enojo
no voy a seguir aguantando esto sin excusas,enojo
no puedo creer que me molesta mucho que hagas eso en serio,enojo
sinceramente siento una angustia muy grande ahora y no puedo calmarlo,miedo
ahora mismo estoy demasiado cansado todo el tiempo,triste
desde ayer todo me fastidia desde hace dias,enojo
la verdad es que no entiendo como puedes actuar asi y no lo entiendo,enojo
honestamente esto me molesta mucho otra vez,enojo
lo que es cierto es que me alegra mucho saber eso en serio,feliz
estoy muy preocupado y con miedo,miedo
me molesta mucho que hagas eso y me parece muy mal,enojo
ahora mismo todo me da miedo desde hace dias,miedo
honestamente eres un egoista de primera y punto,enojo
sinceramente siento una angustia muy grande ahora y me tiene muy nervioso,miedo
lo que pasa es que que mal te portas siempre y no lo entiendo,enojo
en este momento estoy pasando un gran momento,feliz
que buena experiencia vivimos juntos y es lo mejor que me paso,feliz
estoy muy bajoneado con todo,triste
sinceramente no voy a tolerar esto mas de verdad,enojo
hoy siento demasiado temor,miedo
sinceramente siento una tristeza que me invade todo,triste
ya me canse de repetirte lo mismo,enojo
ultimamente estoy emocionado de verdad,feliz
ahora mismo siento demasiado temor otra vez,miedo
realmente me siento muy triste desde hace dias,triste
desde ayer me siento muy triste otra vez,triste
la verdad es que me tienes cansado con eso,enojo
definitivamente ya no aguanto mas ultimamente,enojo
ahora mismo tengo mucho miedo y me afecta mucho,miedo
me da una bronca tremenda,enojo
en este momento estoy disfrutando mucho y eso me alegra,feliz
sinceramente me siento feliz y me encanta,feliz
hoy todo salio excelente ultimamente,feliz
ahora mismo todo me afecta demasiado otra vez,triste
siento que el tiempo no cura esto y quisiera que no fuera así,triste
hoy estoy lleno de energia y alegria en serio,feliz
la verdad estoy muy preocupado en este momento,miedo
la verdad me siento excelente hoy y no se que hacer,feliz
sinceramente me siento horrible todo el tiempo,triste
en este momento me siento horrible y no se que hacer,triste
es que estoy furioso contigo y ya me canse,enojo
ahora mismo estoy muy enojado ultimamente,enojo
hoy me siento excelente hoy esta semana,feliz
definitivamente esto arruino mi dia y eso empeora todo,enojo
la verdad es que estoy muy contento con los avances,feliz
ultimamente no aguanto mas y me afecta mucho,enojo
realmente tengo ansiedad por lo que viene y me afecta mucho,miedo
realmente tengo miedo de fallar en este momento,miedo
desde ayer todo me afecta demasiado en este momento,triste
te digo que siento una pena muy grande por eso y me duele mucho,triste
hoy estoy harto de todo desde hace dias,enojo
sinceramente tengo panico de enfrentar esto solo y me tiene muy nervioso,miedo
me entristece ver como cambiaron las cosas,triste
honestamente no puedo creer que hayas hecho eso,enojo
honestamente me tiene harto tu falta de respeto de verdad,enojo
ahora mismo me siento horrible en este momento,triste
estoy muy asustado de tomar esa decision,miedo
siento una tristeza que no puedo explicar y me duele mucho,triste
sinceramente me siento vacio y me afecta mucho,triste
en serio me siento muy mal con lo que paso y no se como seguir,triste
sinceramente me encanta este momento esta semana,feliz
la verdad es que estoy muy bajoneado con la noticia,triste
estoy realmente frustrado,enojo
en este momento esto arruino mi dia por todo lo que paso,enojo
ultimamente estoy demasiado cansado y no se que hacer,triste
la verdad hoy fue un gran dia en este momento,feliz
sabes que que alegria me da verte bien en serio,feliz
sabes que que buena experiencia fue esa en serio,feliz
siento una ansiedad horrible en este momento y no puedo calmarlo,miedo
siento una inquietud que no me deja tranquilo,miedo
estoy lleno de energia y alegria y es lo mejor que me paso,feliz
sinceramente me frustra muchisimo esto y no lo voy a tolerar,enojo
en serio no puedo creer tanta irresponsabilidad,enojo
siento demasiado temor todo el tiempo,miedo
lo que es cierto es que estoy muy satisfecho con mis decisiones y estoy muy contento,feliz
sinceramente estoy muy asustado por lo que viene y me tiene muy nervioso,miedo
siento un vacio muy grande en mi de verdad,triste
estoy agotado emocionalmente y no se que hacer,triste
de verdad no puedo creer lo que hiciste y no lo voy a tolerar,enojo
me siento muy feliz ahora mismo,feliz
de verdad me duele mucho lo que me dijeron de verdad,triste
es que estoy muy nervioso por los resultados,miedo
de verdad estoy muy apagado y sin motivacion de verdad,triste
realmente me hicieron perder el tiempo ultimamente,enojo
es que siento un miedo enorme que no puedo controlar y me tiene muy nervioso,miedo
tengo miedo de no poder salir adelante y no se que hacer,miedo
estoy muy nervioso de cara a lo que viene,miedo
me frustras mucho con eso en serio,enojo
definitivamente me siento lleno de energia y no se que hacer,feliz
en este momento tengo mucho miedo otra vez,miedo
la verdad es que me alegra mucho el resultado final y estoy muy agradecido,feliz
en este momento todo me fastidia y me afecta mucho,enojo
sinceramente tengo miedo de fallar esta semana,miedo
estoy muy deprimido en este momento,triste
me siento muy solo y sin apoyo y no lo puedo superar,triste
es que eres completamente irresponsable de verdad,enojo
en este momento ya no quiero hablar en este momento,triste
estoy muy bajo de animo desde entonces,triste
hoy tengo ansiedad por lo que viene todo el tiempo,miedo
tengo mucho miedo,miedo
siento tristeza y desesperanza ahora,triste
ultimamente estoy agotado emocionalmente desde hace dias,triste
desde ayer me siento inseguro por todo lo que pasa,miedo
siento una melancolia muy grande ahora de verdad,triste
de verdad estoy muy feliz con mi vida y estoy muy contento,feliz
definitivamente me siento sin energia desde hace dias,triste
te digo que me siento muy solo y sin apoyo de verdad,triste
te juro que me tienes harto de verdad,enojo
la verdad es que que alegria me da verte bien de verdad,feliz
en este momento estoy pasando un gran momento en este momento,feliz
en serio me duele mucho lo que me dijeron de verdad,triste
me enfurece tu actitud,enojo
ultimamente todo me irrita todo el tiempo,enojo
tengo miedo de que las cosas empeoren,miedo
en serio eres un desconsiderado,enojo
estoy en el mejor momento de mi vida,feliz
en serio estoy muy triste con lo que resulto y me duele mucho,triste
hoy estoy demasiado molesto y me afecta mucho,enojo
definitivamente me siento orgulloso desde hace dias,feliz
en este momento tengo miedo de hablar y no se que hacer,miedo
estoy muy satisfecho con mis decisiones de verdad,feliz
siento que algo muy importante se perdio y me duele mucho,triste
que bonito dia fue este para todos,feliz
estoy muy apenado y no se que decir y no se como seguir,triste
en este momento me siento lleno de energia hoy,feliz
desde ayer nada tiene sentido todo el tiempo,triste
en este momento me siento orgulloso ultimamente,feliz
la verdad estoy harto de todo y me afecta mucho,enojo
definitivamente no se que va a pasar desde hace dias,miedo
es que me aterra la idea de perder todo y no se que hacer,miedo
ahora mismo estoy harto de esto de verdad,enojo
la verdad estoy muy preocupado ultimamente,miedo
me hace muy bien sentirme asi sin duda,feliz
en este momento tengo ansiedad otra vez,miedo
tengo un miedo horrible que no me deja,miedo
definitivamente me siento increible hoy,feliz
me aterra no tener el control de nada y no puedo calmarlo,miedo
me siento muy contento con todo y no lo puedo creer,feliz
en serio eso me parece una irresponsabilidad total,enojo
definitivamente estoy harto de esto otra vez,enojo
me siento decepcionado y me afecta mucho,triste
la verdad es que estoy furioso contigo y ya me canse,enojo
la verdad es que estoy lleno de felicidad ahora mismo y estoy muy agradecido,feliz
ultimamente recibi buenas noticias todo el tiempo,feliz
tengo miedo de que lo peor esta por venir de verdad,miedo
ultimamente ya no tengo ganas por todo lo que paso,triste
estoy muy apenado con lo que resulto,triste
estoy lleno de felicidad ahora mismo y estoy muy agradecido,feliz
hoy estoy temblando de nervios por todo lo que paso,miedo
me asusta mucho la situacion actual,miedo
realmente me siento motivado por todo lo que paso,feliz
siento que algo malo va a pasar y no se que hacer,miedo
desde ayer me siento horrible en este momento,triste
sinceramente todo me irrita por todo lo que paso,enojo
ahora mismo me siento lleno de energia y me encanta,feliz
me alegra muchisimo lo que paso sin duda,feliz
que bonito dia fue este para todos de verdad,feliz
lo que pasa es que me tiene indignado lo que paso,enojo
sinceramente estoy muy contento desde hace dias,feliz
definitivamente me siento horrible hoy ultimamente,triste
en este momento me siento lleno de energia hoy,feliz
realmente me siento tranquilo y feliz desde hace dias,feliz
lo que es cierto es que me pone feliz ver tu progreso,feliz
en este momento me siento nervioso otra vez,miedo
la verdad tengo ansiedad por lo que viene,miedo
no puedo evitar que estoy muy asustado con lo que se avecina y no puedo calmarlo,miedo
te juro que que mal comportamiento tienes sin excusas,enojo
oye eres una persona muy egoista y eso no esta bien,enojo
la verdad es que siento una angustia que no me deja dormir,miedo
lo que pasa es que siento un dolor muy grande en el pecho y no se como seguir,triste
definitivamente me da demasiada rabia otra vez,enojo
lo que es cierto es que que bonita sorpresa me llevé hoy,feliz
realmente tengo mucho miedo desde hace dias,miedo
la verdad es que estoy muy asustado con la situacion de verdad,miedo
desde ayer todo me hace enojar por todo lo que paso,enojo
de verdad me tienes harto de verdad y no lo entiendo,enojo
siento tristeza y desesperanza ahora,triste
la verdad me siento muy feliz y no se que hacer,feliz
me siento muy bien y muy contento y es lo mejor que me paso,feliz
definitivamente recibi buenas noticias y no se que hacer,feliz
definitivamente todo esta funcionando bien esta semana,feliz
sinceramente me parece increible tu actitud y me parece muy mal,enojo
me da pavor pensar en eso y eso me preocupa mucho,miedo
hoy todo salio mal,triste
hoy me siento lleno de energia desde hace dias,feliz
hoy tengo ansiedad y no puedo dormir,miedo
me alegra que todo haya salido bien,feliz
es que que falta de respeto tan grande y no lo voy a tolerar,enojo
no puedo creer que me tienes agotado con tus cosas y no lo entiendo,enojo
lo que pasa es que me siento muy solo y abandonado y no se como seguir,triste
hoy me siento muy orgulloso de lo logrado y estoy muy agradecido,feliz
ultimamente me siento nervioso y no se que hacer,miedo
sabes que que buen dia para estar bien en serio,feliz
no puedo evitar que estoy muy nervioso y asustado por todo,miedo
de verdad me tiene harto tu falta de respeto y ya me canse,enojo
que buen momento para estar feliz,feliz
definitivamente esto es injusto por todo lo que paso,enojo
en este momento hoy fue un mal dia ultimamente,triste
sinceramente me siento muy feliz en este momento,feliz
estoy muy apenado con lo que resulto,triste
la verdad ya no tengo ganas ultimamente,triste
la verdad me siento destruido,triste
me siento muy motivado y feliz,feliz
en serio estoy muy contento con lo que paso y es lo mejor que me paso,feliz
lo que es cierto es que me siento lleno de alegria y estoy muy agradecido,feliz
ultimamente todo me afecta demasiado desde hace dias,triste
sinceramente estoy muy triste y no quiero nada de verdad,triste
la verdad tengo miedo de hablar,miedo
ultimamente me siento decepcionado y no se que hacer,triste
hoy fue un gran dia por todo lo que paso,feliz
te juro que me parece increible tu actitud y ya me canse,enojo
la verdad es que siento una soledad muy grande ahora,triste
realmente estoy muy preocupado y no puedo dormir,miedo
realmente esto me molesta demasiado y no se que hacer,enojo
ultimamente todo me afecta demasiado todo el tiempo,triste
estoy muy triste con el resultado,triste
es que siento mucha angustia en este momento y no puedo calmarlo,miedo
estoy agotado emocionalmente todo el tiempo,triste
estoy muy asustado por lo que viene y me tiene muy nervioso,miedo
realmente nada tiene sentido ultimamente,triste
estoy muy triste con el resultado,triste
en serio siento el corazon muy apesadumbrado,triste
me siento muy bien en este momento en serio,feliz
hoy me siento nervioso y no puedo dormir,miedo
la verdad es que que bonito dia fue este para todos sin duda,feliz
me da terror pensar que no hay salida,miedo
lo que es cierto es que me siento muy dichoso en este momento y estoy muy agradecido,feliz
siento el alma muy pesada hoy,triste
que mal te portas siempre en serio,enojo
no puedo evitar que no se que va a pasar y me aterra,miedo
ultimamente me siento horrible hoy desde hace dias,triste
me siento muy bien por lo que logre,feliz
en serio siento una melancolia muy grande ahora,triste
la verdad hoy fue un mal dia esta semana,triste
estoy lleno de felicidad ahora mismo y es lo mejor que me paso,feliz
sinceramente me duele mucho lo que dijiste,triste
estoy muy asustado con la situacion y eso me preocupa mucho,miedo
estoy muy nervioso de cara a lo que viene y me tiene muy nervioso,miedo
que maravilloso es sentirse asi,feliz
en serio esto arruino mi dia y eso empeora todo,enojo
me duele mucho lo que dijiste,triste
ultimamente me siento destruido todo el tiempo,triste
me tienes agotado con tus cosas y me parece muy mal,enojo
sinceramente estoy muy triste con lo que me conto de verdad,triste
te digo que que buena noticia me dieron hoy y estoy muy agradecido,feliz
realmente me siento motivado ultimamente,feliz
estoy muy triste con la situacion actual y quisiera que no fuera así,triste
sinceramente me siento increible esta semana,feliz
sinceramente estoy muy enojado y me afecta mucho,enojo
desde ayer no quiero salir solo esta semana,miedo
hoy todo esta saliendo bien con todo lo que paso,feliz
estoy muy nervioso y no puedo calmarme,miedo
que buen resultado tuvimos hoy y no lo puedo creer,feliz
en serio siento una tristeza muy grande ahora y me duele mucho,triste
te juro que me saca de mis casillas esto y eso no esta bien,enojo
siento una inquietud muy grande ahora,miedo
siento que perdi algo muy importante y no se como seguir,triste
hoy me pone feliz ver tu progreso,feliz
de verdad estoy muy decaido y sin fuerzas,triste
en serio me siento muy feliz con mi familia sin duda,feliz
ahora mismo estoy cansado mentalmente otra vez,triste
sinceramente estoy demasiado cansado y no se que hacer,triste
desde ayer tengo mucho miedo y eso me preocupa,miedo
siento un vacio muy grande en mi y no se como seguir,triste
siento una inquietud muy grande ahora y eso me preocupa mucho,miedo
me siento orgulloso por todo lo que paso,feliz
ultimamente nada tiene sentido esta semana,triste
ya me canse de repetirte lo mismo y ya me canse,enojo
desde ayer no quiero salir solo esta semana,miedo
en este momento me siento vulnerable todo el tiempo,miedo
de verdad estoy muy contento con los avances,feliz
tengo mucho temor de lo que viene y no se que hacer,miedo
es que tengo mucho temor de lo que viene y no puedo calmarlo,miedo
ahora mismo me siento horrible hoy ultimamente,triste
ultimamente todo esta mejorando por todo lo que paso,feliz
desde ayer me siento inseguro todo el tiempo,miedo
no puedo evitar que me da miedo no poder controlarlo y no puedo calmarlo,miedo
hoy todo me hace enojar en este momento,enojo
definitivamente estoy agotado emocionalmente esta semana,triste
sabes que estoy muy contento con el resultado de verdad,feliz
la verdad hoy fue un mal dia y me afecta mucho,triste
estoy muy bajo de animo desde entonces,triste
sinceramente que irresponsable eres con todo,enojo
estoy muy apenado y sin palabras,triste
en serio me alegra que todo haya salido bien y no lo puedo creer,feliz
me enfurece tu actitud y eso no esta bien,enojo
en este momento me siento sin energia otra vez,triste
desde ayer tengo miedo de fallar,miedo
siento mucha presion otra vez,miedo
desde ayer estoy disfrutando mucho,feliz
en este momento me siento motivado en este momento,feliz
la verdad es que tengo panico de perder lo que tengo y no se que hacer,miedo
la verdad es que no entiendo como puedes actuar asi y eso no esta bien,enojo
no puedo evitar que estoy muy angustiado con las posibilidades y no puedo calmarlo,miedo
me da mucho temor el futuro cercano,miedo
en serio no puedo mas con esta situacion en serio,enojo
la verdad me siento sin energia esta semana,triste
estoy muy triste y no puedo dormir y me duele mucho,triste
la verdad es que que buen momento para estar feliz y estoy muy contento,feliz
me asusta mucho la incertidumbre,miedo
sinceramente todo me da miedo ultimamente,miedo
definitivamente me siento incomodo con esto en este momento,miedo
sinceramente tengo ansiedad por lo que viene ultimamente,miedo
de verdad que situacion tan frustrante esta y eso no esta bien,enojo
sinceramente estoy cansado mentalmente por todo lo que paso,triste
me siento muy bien por lo que logre y estoy muy contento,feliz
en este momento me siento inseguro por todo lo que pasa,miedo
hoy estoy demasiado molesto y eso empeora todo,enojo
hoy siento mucha presion y me afecta mucho,miedo
ahora mismo estoy muy enojado ultimamente,enojo
lo que es cierto es que me alegra que todo haya salido bien y estoy muy agradecido,feliz
lo que es cierto es que me hace muy bien sentirme asi en serio,feliz
me pone feliz ver tu progreso y no lo puedo creer,feliz
desde ayer estoy agradecido por todo ultimamente,feliz
la verdad es que estoy en el mejor momento de mi vida y no lo puedo creer,feliz
me da terror lo que pueda pasar despues,miedo
estoy muy triste con lo que resulto y no lo puedo superar,triste
lo que es cierto es que que dia tan especial fue hoy para mi en serio,feliz
me da mucho miedo no estar listo y me tiene muy nervioso,miedo
hoy todo esta mejorando desde hace dias,feliz
hoy todo salio perfecto en este momento,feliz
que dia tan productivo tuve hoy en serio,feliz
hoy me siento excelente de verdad,feliz
en serio me tiene harto tu falta de respeto y no lo voy a tolerar,enojo
la verdad me siento muy triste y no se que hacer,triste
sinceramente me hicieron perder el tiempo desde hace dias,enojo
te digo que me aterra quedarme sin opciones y me tiene muy nervioso,miedo
realmente todo me fastidia,enojo
en este momento estoy muy contento ultimamente,feliz
de verdad me decepciono mucho lo que hiciste y no lo voy a tolerar,enojo
sinceramente esto es injusto por todo lo que paso,enojo
ya basta con esa actitud y no lo entiendo,enojo
estoy muy satisfecho con todo lo hecho de verdad,feliz
en este momento tengo miedo de fallar,miedo
de verdad que buen resultado tuvimos hoy sin duda,feliz
de verdad no voy a tolerar ese comportamiento y ya me canse,enojo
desde ayer estoy demasiado cansado desde hace dias,triste
no puedo creer que no puedo creer tu irresponsabilidad sin excusas,enojo
en serio estoy muy triste con lo que paso y me duele mucho,triste
sinceramente estoy muy triste con lo que paso y quisiera que no fuera así,triste
realmente me siento destruido en este momento,triste
es que tengo panico de que algo malo pase,miedo
la verdad ya no tengo ganas y no se que hacer,triste
