text,emotion
es que perdi mi negocio y no se como seguir y ya,triste
no te miento mi abuelo ya no esta de verdad,triste
ultimamente subi una foto y me arrepenti de haberla subido y no es facil,triste
oye siento que finjo estar bien tan seguido que ya ni se men,triste
la verdad me regalaron algo que queria hace mucho pero bueno,feliz
ultimamente no soporto esta situacion por todo lo que paso,enojo
me aterra pensar en perder el control,miedo
ultimamente todo me irrita ultimamente,enojo
nacio mi hija la verdad,feliz
te cuento que tengo algo importante manana y no puedo dormir pero bueno,miedo
me tiene muy irritado todo esto y no puedo evitarlo,enojo
hoy mi mejor amigo se fue a vivir lejos y me tiene mal,triste
no te miento me asusta mucho lo que esta pasando en el barrio y me tiene mal,miedo
oye por fin me contestaron y no es facil admitirlo,feliz
hoy me siento inseguro otra vez,miedo
oye abusaron de mi confianza y no se que hacer,enojo
estoy muy apenado con lo que paso y quisiera que no fuera así,triste
te digo que me contactaron por mi trabajo y quede feliz,feliz
mira hicieron algo injusto y nadie dijo nada,enojo
me siento muy triste hoy,triste
tengo miedo de que me rechacen si digo lo que pienso de verdad,miedo
no se si contarte pero me paraliza la idea de tener que hablar en grupo sinceramente,miedo
no te miento sali del pais por primera vez y nadie lo sabe,feliz
siento que me estoy quedando sin opciones y ya,miedo
lo que pasa es que siento tristeza y desesperanza ahora,triste
no puedo creer que eso que hiciste estuvo muy feo de verdad,enojo
oye esto me parece una falta de respeto total otra vez,enojo
desde ayer me siento vacio todo el tiempo,triste
ahora mismo todo me fastidia y no se que hacer,enojo
lo que pasa es que todo esta mal organizado y me tiene mal,enojo
la verdad mi familia se fue a vivir lejos y me siento solo,triste
fijate que me dieron el trabajo que queria,feliz
hoy me da pena hablar en publico y manana me toca y no es facil,miedo
parce hicieron lo que quisieron sin preguntarme nada parce,enojo
siento una rabia que no te imaginas y me parece muy mal,enojo
en este momento nada tiene sentido ultimamente,triste
es que estoy muy preocupado y con miedo y me tiene muy nervioso,miedo
me alegra ver que todo salio bien,feliz
realmente odio esta situacion otra vez,enojo
realmente me hicieron perder el tiempo otra vez,enojo
te juro que me respondieron que si al proyecto,feliz
la verdad me respondieron con mala cara sin razon,enojo
definitivamente no se que va a pasar y me afecta mucho,miedo
no te miento me hablaron como si fuera tonto y no puedo evitarlo,enojo
la verdad me tiene muy cansado esta gente y eso me duele,enojo
me tiene muy apagado esta situacion,triste
la verdad tengo ansiedad otra vez,miedo
sinceramente me pone muy ansioso pensar en eso la verdad,miedo
fijate que me trataron como si no existiera,enojo
mira me da muy duro enfrentar esa conversacion pero bueno,miedo
parce me tiene muy cansado esta gente la verdad,enojo
hoy odio esta situacion por todo lo que paso,enojo
estoy muy angustiado con todo esto y no puedo calmarlo,miedo
desde hace dias publicaron algo mio sin pedirme permiso,enojo
me da una bronca tremenda y me parece muy mal,enojo
hoy me invitaron a participar en algo importante y no es facil,feliz
es que me irritas con ese comportamiento y punto,enojo
me duele mucho lo que me dijeron y no lo puedo superar,triste
es que las cosas ya no son como antes,triste
mira me salio rico lo que cocine la verdad,feliz
es que hoy me senti muy bien conmigo mismo men,feliz
fijate que me usaron y despues me ignoraron y ya,enojo
honestamente esto arruino mi dia todo el tiempo,enojo
me siento muy contento con el equipo y estoy muy contento,feliz
es que me cobraron mas de lo que decia el precio parce,enojo
te juro que siento que finjo estar bien tan seguido que ya ni se bro,triste
ahora mismo me preocupa el futuro por todo lo que pasa,miedo
realmente estoy muy contento en este momento,feliz
me asusta mucho lo que esta pasando en el barrio,miedo
mira me dicen que exagero cuando digo como me siento,enojo
me citaron a declarar y estoy muy nervioso y ya,miedo
ultimamente no se si voy a poder sostenerme solo,miedo
hoy estoy muy nervioso con esa vuelta pero bueno,miedo
fijate que tengo miedo de que se den cuenta que no entiendo y no puedo evitarlo,miedo
realmente me siento excelente y me encanta,feliz
no te miento me hablaron muy mal y ya,enojo
siento una melancolia muy grande ahora,triste
la verdad me tiene muy angustiado esa situacion y eso me duele,miedo
hoy me hicieron perder el tiempo otra vez,enojo
termine mi tesis la verdad,feliz
sinceramente me salio el negocio que queria y me tiene mal,feliz
desde ayer estoy realmente frustrado ultimamente,enojo
es que me siento muy achantado hoy parce,triste
mira no se si lo que estoy haciendo es lo correcto y ya,miedo
siento que estoy muy solo en todo esto,triste
me echaron la culpa de algo que hizo otro pero bueno,enojo
en este momento no se que va a pasar y no se que hacer,miedo
hoy perdi mi negocio y no se como seguir,triste
ultimamente el profesor me felicito por el trabajo y me afecta mucho,feliz
la verdad estoy agotado de tener que explicar como me siento de verdad,triste
me entristece ver como cambiaron las cosas,triste
en este momento odio esta situacion y no se que hacer,enojo
no te miento me usaron y despues me ignoraron todo el tiempo,enojo
te cuento que hoy me di cuenta que avance mucho y ya,feliz
oye me sacaron de la jugada sin ninguna explicacion parce,enojo
tengo miedo de cometer un error grave y no puedo calmarlo,miedo
hoy las cosas estan saliendo como quiero y no se que hacer,feliz
es que me toca salir tarde y me da miedo en la calle de verdad,miedo
perdi mi negocio y no se como seguir parce,triste
aprobe todas las materias este semestre,feliz
fijate que tengo miedo de decir algo y que lo tomen mal de verdad,miedo
fijate que me da terror mostrarme como soy de verdad y no lo digo seguido,miedo
me dejo mi novia y estoy muy bajoneado y nadie lo sabe,triste
fijate que me aterra quedar mal frente a todos y me tiene mal,miedo
te digo que dijeron mentiras sobre mi en redes y no se que hacer,enojo
tengo miedo de no poder salir adelante de verdad,miedo
hoy me tiene harto que siempre pase lo mismo,enojo
la verdad es que termine la semana sin ningun problema y me afecta mucho,feliz
no te lo voy a perdonar tan facil,enojo
en serio hoy me fue de pelos y eso me duele,feliz
fijate que me tiene muy angustiado esa situacion de verdad,miedo
definitivamente estoy temblando de nervios en este momento,miedo
la verdad me siento muy feliz,feliz
mira me canse de ser el que siempre aguanta,triste
es que me tiene muy enojado esa situacion la verdad,enojo
ultimamente me siento inseguro esta semana,miedo
me da ansiedad ver cuanta gente vio mi historia de verdad,miedo
oye me pidieron que fuera a recursos humanos,miedo
hoy me ignoraron durante horas la verdad,enojo
tengo un mal presentimiento con eso parce,miedo
la verdad es que me mandaron un audio muy lindo de verdad,feliz
sinceramente no tolero mas esta situacion,enojo
hoy estoy con el animo muy por el piso,triste
siento una pena muy honda en mi y me duele mucho,triste
siento un dolor emocional muy grande y quisiera que no fuera así,triste
en este momento todo esta saliendo bien de verdad,feliz
mira lo que paso siempre me pasa lo mismo con las mismas personas pero ya no puedo mas,enojo
hoy no pude ir a la graduacion pero necesitaba decirlo,triste
me quede sin trabajo y no se que hacer y no puedo evitarlo,triste
la verdad estoy muy bacano con la noticia y me tiene mal,feliz
estoy muy bacano con la noticia,feliz
me da pena decirlo pero no entendi el tono del mensaje y me confundi pero ya no puedo mas,triste
realmente estoy demasiado molesto ultimamente,enojo
vieja me descuentan del sueldo cosas que no firmé y no se que hacer,enojo
hoy estoy muy emocionado con lo que viene y no se que hacer,feliz
mira eso estuvo muy mal de tu parte,enojo
te cuento que siento que todo el mundo sigue y yo me quede quieto hermano,triste
ahora mismo alguien noto que estaba bien y me lo dijo y nadie lo entiende,feliz
en serio me tiene muy cansado esta gente de verdad,enojo
sinceramente me trataron muy mal sin razon y necesito que alguien me entienda,enojo
es que estoy cansado de aparentar que todo esta bien,triste
lo que pasa es que estoy muy apenado por todo lo que perdí,triste
hoy me respondieron con mala cara sin razon,enojo
en serio estoy muy apenado por todo lo que perdí y no lo puedo superar,triste
la verdad estoy demasiado preocupado por todo lo que paso,miedo
te juro que me subieron el sueldo y me tiene agotado,feliz
ultimamente siento que no encajo en ningún lado todo el tiempo,triste
en serio mi jefe quedo contento con mi trabajo y no lo digo seguido,feliz
honestamente no puedo con esta rabia que siento,enojo
ahora mismo nadie reconocio lo que aporte de verdad,enojo
hoy todo esta empeorando otra vez,triste
la verdad quede encantado con como salio todo,feliz
hoy me descuentan del sueldo cosas que no firmé la verdad,enojo
en serio tengo miedo de tomar una decision y que salga mal y me tiene pensando mucho,miedo
mira siento que todo el mundo sigue y yo me quede quieto,triste
me duele mucho lo que dijiste,triste
hermano mi equipo gano hoy y estoy feliz de verdad,feliz
me pidieron que fuera a una reunion sin decirme de que,miedo
no te miento hice algo que me daba miedo y salio bien,feliz
hoy no me merecia este trato otra vez,enojo
te digo que todo el mundo esta en planes y yo solo en casa y me cuesta aceptarlo,triste
la verdad odio esta situacion en este momento,enojo
fijate que mi equipo gano hoy y estoy feliz y no es facil,feliz
ultimamente me angustia no saber como interpretar eso y me cuesta mucho,miedo
definitivamente me hicieron perder el tiempo por todo lo que paso,enojo
me toco irme del barrio que queria,triste
la verdad perdi mi trabajo hoy sinceramente,triste
te digo que me siento muy bien en este momento y es lo mejor que me paso,feliz
lo que pasa es que tengo una entrevista y me muero del susto sinceramente,miedo
hoy me dijeron que si y despues que no y no puedo evitarlo,enojo
men estoy cansado de aparentar que todo esta bien de verdad,triste
en serio me tiene muy cansado esta gente,enojo
no te miento me senti aceptado como soy y quisiera que alguien me ayudara,feliz
sinceramente tengo miedo de fallar desde hace dias,miedo
realmente todo esta mejorando hoy,feliz
es que hicieron lo que quisieron sin preguntarme nada,enojo
para serte honesto tuve que fingir que estaba bien toda la noche y no se que hacer,triste
en este momento me siento feliz con todo lo que paso,feliz
en este momento estoy demasiado preocupado y me afecta mucho,miedo
que buen momento para estar feliz y es lo mejor que me paso,feliz
la verdad es que me aterra pensar en perder el control y me tiene muy nervioso,miedo
hoy hoy todo fluyo bien y no lo puedo ocultar,feliz
lo que pasa es que eso me parece una irresponsabilidad total de verdad,enojo
me cancelaron la cita sin avisar y me tiene mal,enojo
la verdad es que me da terror lo que pueda pasar despues,miedo
desde hace dias me dejaron solo en esto y me tiene mal,triste
es que me llamaron de la empresa y no dijeron para que,miedo
te digo que me da miedo no estar preparado de verdad,miedo
ahora mismo me siento feliz con todo lo que paso,feliz
en este momento me siento lleno de energia y me encanta,feliz
fijate que lei el mensaje diez veces y no se como responder pero ya no puedo mas,miedo
la verdad no me toman en serio por mi edad y me afecta,enojo
te cuento que siento que el miedo no me deja avanzar y ya,miedo
fijate que me pelee con mi mejor amigo y me duele mucho pero bueno,triste
es que estoy muy asustado por lo que viene,miedo
es que termino mi carrera y no lo puedo ocultar,feliz
mira me enfurece tu actitud y ya me canse,enojo
sinceramente todo me afecta demasiado desde hace dias,triste
sinceramente no entendi el tono del mensaje y me confundi y me cuesta mucho,triste
para serte honesto me graduo este mes y eso me pesa,feliz
es que me prometieron el trabajo y al final le dieron a otro de verdad,enojo
se aprovecharon de la buena fe mia,enojo
mira hicieron algo injusto y nadie dijo nada,enojo
te juro que me dieron el viernes libre y no se como manejarlo,feliz
te juro que tengo miedo de que se den cuenta que no entiendo de verdad,miedo
la verdad esto arruino mi dia desde hace dias,enojo
mira me salio redondo todo hoy y no se que hacer,feliz
en serio extraño mucho a las personas que ya no estan,triste
desde hace dias me saca de quicio todo esto y no se que hacer,enojo
es que todo el mundo esta en planes y yo solo en casa de verdad,triste
ahora mismo me ignoraron completamente pero no digo nada,enojo
hoy fui honesto y salio bien de verdad,feliz
me siento lleno de energia y me afecta mucho,feliz
en serio que bonita sorpresa me llevé hoy,feliz
ultimamente me da terror que noten que estoy nervioso y eso me tiene mal,miedo
me da susto pedir el favor porque me da pena y no es facil,miedo
ahora mismo odio esta situacion desde hace dias,enojo
mi familia esta pasando un momento muy dificil de verdad,triste
en serio me asusta mucho lo que esta pasando en el barrio y ya,miedo
me ignoraron cuando tenia toda la razon y nadie lo sabe,enojo
es que me eliminaron del grupo sin decir nada y no puedo evitarlo,enojo
en serio siempre me pasa lo mismo con las mismas personas de verdad,enojo
sinceramente me escribieron solo para reclamarme de verdad,enojo
ahora mismo estoy esperando una respuesta y me tiene nervioso y ya,miedo
es que fuimos a la finca y fue muy bacano la verdad,feliz
en serio me respondio el mensaje que esperaba pero ya no puedo mas,feliz
en serio me hicieron fila tres horas y no me atendieron y eso me duele,enojo
que estupidez lo que hiciste,enojo
la verdad ya no tengo ganas ultimamente,triste
no te miento me hicieron perder un dia entero de verdad,enojo
estoy muy apagado y sin motivacion,triste
sinceramente me hicieron perder un dia entero y me tiene mal,enojo
ultimamente todo me da miedo desde hace dias,miedo
hoy me citaron para hablar y no se de que sinceramente,miedo
te cuento que me cobraron de mas y no me quieren devolver y ya,enojo
desde hace dias ya no quiero esforzarme y ya,triste
te cuento que logre lo que queria la verdad,feliz
sinceramente tengo miedo de que me quiten el trabajo y me cuesta mucho,miedo
parce me tienen muy hastiado con lo mismo,enojo
me da pena decirlo pero me da terror decepcionar a alguien que confio en mi y nadie lo entiende,miedo
es que me cambiaron las condiciones a ultimo momento y me afecta,enojo
estoy muy cansado de lucharla solo y no se que hacer,triste
no te miento me da pena hablar en publico y manana me toca de verdad,miedo
definitivamente odio esta situacion de verdad,enojo
parce mi mejor amigo se fue para otro pais,triste
ahora mismo me di cuenta que no me invitaron a la reunion y eso me tiene mal,triste
no puedo creer que me irritas con ese comportamiento,enojo
la verdad es que me tienes agotado con tus cosas,enojo
la verdad esto arruino mi dia otra vez,enojo
me aterra no saber como va a terminar,miedo
ultimamente todo tiene sentido ahora y es agotador,feliz
tengo algo importante manana y no puedo dormir la verdad,miedo
me pusieron obstaculos que no tenian sentido sinceramente,enojo
tengo miedo de que me rechacen si digo lo que pienso,miedo
sinceramente no me dejaron terminar de hablar y no se que hacer,enojo
fijate que eso me pone muy furioso parce y ya,enojo
es que me dieron una sorpresa muy bonita hoy parce,feliz
me dijeron que era mi culpa cuando no lo era la verdad,enojo
me da pena decirlo pero me escribieron para disculparse y me alegro y me cuesta mucho,feliz
fijate que pude expresarme sin que me juzgaran y me cuesta mucho,feliz
me sacaron la paciencia otra vez,enojo
dijeron mentiras sobre mi en redes y no es facil,enojo
desde ayer siento demasiado temor otra vez,miedo
desde hace dias alguien noto que estaba bien y me lo dijo y me tiene agotado,feliz
la verdad me dejaron esperando sin explicacion,enojo
mi familia estuvo muy unida hoy,feliz
te digo que tengo miedo de no poder manejar esto de verdad,miedo
estoy muy nervioso con esa vuelta y eso me duele,miedo
mira siento que me quede atras,triste
te cuento que no me dejaron terminar de hablar de verdad,enojo
ultimamente llegue a tiempo a todo y necesito que alguien me entienda,feliz
mira se fue mi perro hoy,triste
la verdad es que que buena experiencia vivimos juntos,feliz
la verdad mi mejor amigo se fue para otro pais pero bueno,triste
lo que es cierto es que me siento muy bien con todo y estoy muy contento,feliz
la verdad me faltaron el respeto delante de todos y nadie lo sabe,enojo
lo que pasa es que vi que estaba en linea pero no me respondio y me cuesta mucho,triste
en serio no puedo mas con tanto todo el tiempo,triste
me cayo del cielo esa noticia y no es facil,feliz
ahora mismo me encanta este momento y no se que hacer,feliz
no te miento tengo panico de que me pregunten algo en clase,miedo
la verdad me cancelaron a ultimo momento y necesito que alguien me entienda,enojo
definitivamente estoy harto de esto y estoy cansado,enojo
hoy estoy con una nota hoy y no se que hacer,feliz
siento un dolor muy grande en el pecho,triste
ahora mismo me siento inseguro esta semana,miedo
tengo ansiedad de pensar en todo lo que falta la verdad,miedo
me senti aceptado como soy y no puedo evitarlo,feliz
que maravilloso momento estoy viviendo en serio,feliz
para serte honesto ya no tengo fuerzas para nada todo el tiempo,triste
desde hace dias llevo dias aguantando esto y ya no puedo y no se como manejarlo,enojo
sinceramente siento que algo se rompio dentro de mi y necesito que alguien me entienda,triste
me da pena decirlo pero me corrigieron el tono sin escuchar lo que dije y eso me tiene mal,enojo
hermano fuimos a la finca y fue muy bacano y me cuesta mucho,feliz
sinceramente me tiene muy intranquilo todo esto parce,miedo
es que tengo miedo de que me juzguen y no se que hacer,miedo
realmente tengo panico todo el tiempo,miedo
ahora mismo me siento destruido y me afecta mucho,triste
lo que pasa es que estoy demasiado angustiado para pensar y eso me pesa,miedo
lo que pasa es que consegui el trabajo,feliz
en este momento estoy harto de todo en este momento,enojo
la verdad me tiene muy molesto que nadie haga nada men,enojo
siento que algo no esta bien aunque todo parece normal pero necesitaba decirlo,miedo
desde hace dias cambiaron las reglas sin avisarme y me tiene agotado,enojo
en serio tengo miedo de que sea algo grave y necesito que alguien me entienda,miedo
mira lo que paso quise decir algo pero no encontre las palabras y quisiera que alguien me ayudara,triste
realmente me siento destruido por todo lo que paso,triste
es que me echaron la culpa de algo que hizo otro,enojo
parce hoy amaneci con toda la actitud,feliz
lo que pasa es que estoy muy triste con el resultado de verdad,triste
estoy muy nervioso con todo lo que pasa,miedo
mira tengo un mal presentimiento con eso parce,miedo
sinceramente mi familia estuvo muy unida hoy,feliz
es que me salio todo bien y no me lo esperaba la verdad,feliz
mira me paraliza no saber cual es el camino correcto,miedo
no se me canse de esperar que las cosas cambien solas y ya,triste
la verdad todo el mundo sigue y yo estoy quieto y no se que hacer,triste
te cuento que siento que estoy de mas y no lo puedo ocultar,triste
la verdad es que que alegria me da verte bien y es lo mejor que me paso,feliz
en serio hoy descanse muy bien y es agotador,feliz
hoy esto es injusto otra vez,enojo
lo que pasa es que siento que algo muy importante se perdio y no lo puedo superar,triste
desde hace dias no puedo dejar de preocuparme sinceramente,miedo
bro desactive mis redes porque me hacian sentir mal men,triste
siento que no soy tan inteligente como los demas y trato de disimularlo,triste
sinceramente me siento horrible hoy ultimamente,triste
la verdad me sorprendieron hoy,feliz
la verdad es que mi jefe quedo contento con mi trabajo pero ya no puedo mas,feliz
ultimamente me copiaron el trabajo y lo publicaron como propio y no puedo evitarlo,enojo
que bonito dia fue este para todos,feliz
todo esta fluyendo muy bien ultimamente y me afecta,feliz
sinceramente me siento realizado,feliz
me citaron a declarar y estoy muy nervioso,miedo
es que tengo panico de que me pregunten algo en clase la verdad,miedo
parce me trataron como si yo fuera el problema la verdad,enojo
la verdad hoy no tengo que trabajar y no puedo evitarlo,feliz
es que me asusta pensar en las consecuencias,miedo
la verdad me fue bien en el icfes,feliz
estoy muy asustado con la situacion,miedo
te cuento que hoy no tengo que trabajar y no lo puedo ocultar,feliz
ultimamente hoy no tuve que madrugar y lo disfrute de verdad,feliz
hoy me toca salir tarde y me da miedo en la calle,miedo
hoy fue mejor de lo que esperaba de verdad,feliz
me dejaron pero necesitaba decirlo,triste
en este momento me da mucha rabia desde hace dias,enojo
ultimamente me da mucha rabia esta semana,enojo
oye se aprovecharon de la buena fe mia parce,enojo
me siento muy lejos de todos y me afecta,triste
en este momento me hicieron perder el tiempo en este momento,enojo
desde ayer todo me pone mal y no se que hacer,triste
honestamente que actitud tan mala la tuya sin excusas,enojo
ya nada es igual pero necesitaba decirlo,triste
te cuento que tuve que dejar mis estudios y ya,triste
hoy me dijeron que si y despues que no pero necesitaba decirlo,enojo
me siento orgulloso de donde estoy y me tiene mal,feliz
que dia tan exitoso fue hoy y estoy muy agradecido,feliz
de verdad que buen dia tuve hoy en serio,feliz
para serte honesto me interrumpieron todo el tiempo otra vez,enojo
me pidieron que fuera a una reunion sin decirme de que y me afecta,miedo
en serio que buena noticia para empezar el dia y estoy muy agradecido,feliz
ultimamente tengo mucho miedo esta semana,miedo
te juro que me echaron la culpa de lo que salio mal y no puedo evitarlo,enojo
en serio estoy muy apenado por lo que paso,triste
desde ayer tengo miedo de fallar,miedo
la verdad me pidieron que fuera a recursos humanos pero bueno,miedo
la verdad siento que cargue solo con todo y ya,triste
hoy se fue mi perro hoy,triste
ultimamente estoy muy contento y me afecta mucho,feliz
ultimamente tengo miedo de que me alejen si se dan cuenta como soy y trato de disimularlo,miedo
realmente estoy muy preocupado desde hace dias,miedo
estoy muy triste y no se que hacer y no se como seguir,triste
me tiene muy cansado esta gente de verdad,enojo
hoy el medico me dijo que necesita hablar conmigo de verdad,miedo
desde hace dias no tuve ganas de comer y ya,triste
realmente estoy agradecido por todo ultimamente,feliz
hoy me preocupa no poder pagar el arriendo el otro mes,miedo
en serio tengo miedo de tomar la decision equivocada y eso me pesa,miedo
ahora mismo me siento vacio ultimamente,triste
no te miento me hicieron fila tres horas y no me atendieron y no se que hacer,enojo
me siento muy bien con todo sin duda,feliz
es que me toco dejar los estudios por plata,triste
te juro que no es la primera vez y eso me tiene agotado,enojo
en este momento me siento lleno de energia y no se que hacer,feliz
te digo que que buen trabajo hiciste hoy,feliz
desde ayer todo me da miedo y me afecta mucho,miedo
realmente me siento destruido y me duele mucho,triste
parce me cayo muy bien esa persona y no puedo evitarlo,feliz
en este momento me preocupa el futuro y eso me preocupa,miedo
estoy muy bajoneado con la noticia y quisiera que no fuera así,triste
fijate que me faltaron el respeto delante de todos,enojo
me entristece mucho esta situacion de verdad,triste
hoy siento que no le importo a nadie de verdad y me cuesta mucho,triste
en serio tengo miedo de que me quiten el trabajo,miedo
en serio me pone muy nervioso hablar en publico y no se que hacer,miedo
para serte honesto consegui el trabajo y me afecta mucho,feliz
te juro que me da terror decepcionar a alguien que confio en mi y no se como manejarlo,miedo
me siento muy afortunado y no lo puedo creer,feliz
para serte honesto termino mi carrera y me tiene mal,feliz
realmente estoy muy preocupado y no puedo dormir,miedo
me toco dejar los estudios por plata pero bueno,triste
llegue y me dijeron que no habia cupo,enojo
siento que estoy decepcionando a todos y ya,triste
men me encontre plata en un bolsillo que no sabia,feliz
no te miento me tiene con los nervios destrozados y eso me duele,miedo
es que mi familia estuvo muy unida hoy y no se que hacer,feliz
me tocó repetir el tramite porque perdieron mis papeles y ya,enojo
te digo que siento una pena muy grande ahora de verdad,triste
ahora mismo no se si voy a poder con esto y eso me pesa,miedo
me da pena decirlo pero pude decir lo que sentia sin miedo y nadie lo entiende,feliz
sinceramente me siento decepcionado ultimamente,triste
en serio esto me parece una falta de respeto total pero no digo nada,enojo
hoy me llamaron de la empresa y no dijeron para que la verdad,miedo
me cayo muy bien esa persona,feliz
me siento muy solo en esta ciudad y no es facil,triste
fijate que me encontre con un amigo que no veia hace tiempo parce,feliz
lo que pasa es que me respondieron con mala actitud sin razon pero ya no puedo mas,enojo
hoy me citaron a declarar y estoy muy nervioso,miedo
parce me llamaron para el trabajo en medellin,feliz
hoy se llevaron el credito de lo que yo hice la verdad,enojo
es que hicieron lo que quisieron sin preguntarme nada y nadie lo sabe,enojo
me da pena decirlo pero pude mantener una conversacion sin angustiarme pero ya no puedo mas,feliz
men no puedo creer que hayan hecho eso y ya,enojo
de verdad no voy a tolerar ese comportamiento y ya me canse,enojo
me hablaron muy feo sin ninguna razon pero bueno,enojo
me da terror mostrarme como soy de verdad y eso me tiene mal,miedo
me da mucho miedo el futuro y eso me preocupa mucho,miedo
oye hoy amaneci con toda la actitud,feliz
oye no quise hablar con nadie hoy,triste
no te miento me tienen muy mamado con esa vuelta y no puedo evitarlo,enojo
fijate que todo tiene sentido ahora todo el tiempo,feliz
me tiene muy irritado todo esto,enojo
es que me da mucha pena decirle eso a la gente y nadie lo sabe,miedo
siento que el tiempo paso y yo no hice nada pero necesitaba decirlo,triste
fijate que estoy muy cansado de lucharla solo,triste
hoy pase el semestre sin perder nada y me cuesta mucho,feliz
es que siento que no encajo en ningún lado y ya,triste
no se publicaron algo mio sin pedirme permiso,enojo
siento una soledad muy grande ahora y me duele mucho,triste
oye me dejaron solo en esto sinceramente,triste
lo que pasa es que me hablaron muy mal y no lo puedo ocultar,enojo
lo que pasa es que me irritas con ese comportamiento y punto,enojo
ahora mismo todo esta funcionando bien,feliz
hoy me dieron la visa,feliz
te cuento que hoy fue un dia muy chévere y ya,feliz
